Project,class,Comment,Comment size,Intent(who I am),Responsibilities(What I do and What I know),Collaborators,Key messages,Key implementation points,Instance variables,Reference to other resources (other class(es)/documentation),Subclasses Explanation,Class references,Example,To do comments,Coding guidlines,Warnings/ Note,Discourse,Links,Extension,Recommendations,Observations,Precondition,Dependencies,License/ copyright information,Other,Class,Intent,Responsibilities,ReferenceToOtherResources,Todo comments,Warnings,Extensions,Preconditions,License/copyright
GToolkit,BlCompulsoryCombinationTest,This class contains tests,1,,,,,,,,,,,,,,,,,,,,,,,,,This class contains tests,,,,,,
GToolkit,SpUserFontSource,I represent a font face source and know how to retrieve font contents from it,1,,,,,,,,,,,,,,,,,,,,,,,,I represent a font face source ,and know how to retrieve font contents from it,,,,,,
GToolkit,BlArrowheadExamples,I contain examples of different types of ==BlArrowheadElement==,1,,,,,,,,,BlArrowheadElement,,,,,,,,,,,,,,,,I contain examples of different types of ==BlArrowheadElement==,,,,,,
GToolkit,BlChickenLeg,I am a single red chicken leg with two toes,1,,,,,,,,,,,,,,,,,,,,,,,,I am a single red chicken leg with two toes,,,,,,,
GToolkit,BlGeometryElement,I am a root class of geometry elements - elements driven by geometry anchors.,1,,,,,,,,,,,,,,,,,,,,,,,,I am a root class of geometry elements,I am a root class of geometry elements - elements driven by geometry anchors.,,,,,,
GToolkit,GtDiagrammerStarStencil,I create a star element,1,,,,,,,,,,,,,,,,,,,,,,,,,I create a star element,,,,,,
GToolkit,BrSelectionRequest,I am sent by a look to request selection update from the view model,1,,,,,,,,,,,,,,,,,,,,,,,,,I am sent by a look to request selection update from the view model,,,,,,
GToolkit,BlSelection,I represent a text selection defined as interval [from...to],1,,,,,,,,,,,,,,,,,,,,,,,,I represent a text selection defined as interval [from...to],,,,,,,
GToolkit,BrMaterialToggleBackgroundLook,I describe how background of a material toggle button changes due to toggle events,1,,,,,,,,,,,,,,,,,,,,,,,,,I describe how background of a material toggle button changes due to toggle events,,,,,,
GToolkit,SkiaFilterSourceCanvas,When canvas is a source of a filter we should take its snapshot,1,,,,,,,,,,,,,,,,,,When canvas is a source of a filter we should take its snapshot,,,,,,,,,,,,,
GToolkit,GtABAddress,I hold all data relevant for an address,1,,,,,,,,,,,,,,,,,,,,,,,,,I hold all data relevant for an address,,,,,,
GToolkit,BrExampleColoredElementStencil,I am an example of a custom Stencil that creates a rounded rectangular element with cusomizable background color and corner radius,1,,,,that creates a rounded rectangular element with cusomizable background color and corner radius,,,,,,,,,,,,,,,,,,,,I am an example of a custom Stencil ,that creates a rounded rectangular element with cusomizable background color and corner radius,,,,,,
GToolkit,BlSpaceEventExamples,I contain examples of space related events,1,,,,,,,,,,,,,,,,,,,,,,,,,I contain examples of space related events,,,,,,
GToolkit,BlGeometryAnchorListener,I am an event listener that listens Anchor Moved event send by Anchor,1,,,I am an event listener that listens Anchor Moved event send by Anchor,,,,,,,,,,,,,,,,,,,,,I am an event listener that listens Anchor Moved event send by Anchor,I am an event listener that listens Anchor Moved event send by Anchor,,,,,,
GToolkit,BlElementPositionChangeTest,I contain examples of position change logging functionality,1,,,,,,,,,,,,,,,,,,,,,,,,,I contain examples of position change logging functionality,,,,,,
GToolkit,GtConnectorButtonAddedEvent,Is sent after button is added to the scene graph,1,,,,,,,,,,,,,,,,,,,,,,,,,Is sent after button is added to the scene graph,,,,,,
GToolkit,BrTextEditorSelectionUpdateCommand,I do the hard job of visually updating selection by requesting segment holders to partially update themselves,1,,,,I do the hard job of visually updating selection by requesting segment holders to partially update themselves,,,,,,,,,,,,,,,,,,,,,I do the hard job of visually updating selection by requesting segment holders to partially update themselves,,,,,,
GToolkit,BlMorphicSpaceHostMorph,I act as a space host for a Bloc space,1,,,I act as a space host for a Bloc space,,,,,,,,,,,,,,,,,,,,,I act as a space host for a Bloc space,,,,,,,
GToolkit,BrTextEditorLineSplitter,I split a piece of text into line segments ${class:BrTextEditorLineSegment}$,1,,,,,,,,,${class:BrTextEditorLineSegment}$,,,,,,,,,,,,,,,,I split a piece of text into line segments ${class:BrTextEditorLineSegment}$,,,,,,
GToolkit,BlElementCenterLeftAnchor,My position is equal to the left center of a reference element,1,,,My position is equal to the left center of a reference element,,,,,,,,,,,,,,,,,,,,,,My position is equal to the left center of a reference element,,,,,,
GToolkit,BlHeadlessHost,I am a fallback host that is chosen if there are no other available and supported hosts.,1,,,,,,,,,,,,,,,,,,,,,,,,I am a fallback host that is chosen if there are no other available and supported hosts.,I am a fallback host that is chosen if there are no other available and supported hosts.,,,,,I am a fallback host that is chosen if there are no other available and supported hosts.,
GToolkit,BlMorphicWindowHost,I am a concrete implementation of a BlHost that allows users to open host bloc spaces within Moprhic windows,1,,,that allows users to open host bloc spaces within Moprhic windows,,,,,,BlHost,,,,,,,,,,,,,,,I am a concrete implementation of a BlHost,that allows users to open host bloc spaces within Moprhic windows,,,,,,
GToolkit,BlElementBoundsExamples,I contain examples of element bounds api,1,,,,,,,,,,,,,,,,,,,,,,,,,I contain examples of element bounds api,,,,,,
GToolkit,BrInteractiveModel,"I am a composite interaction model responsible for managing widget state such as pressed, hovered, focused.",1,,,"I am a composite interaction model responsible for managing widget state such as pressed, hovered, focused.",,,,,,,,,,,,,,,,,,,,,"I am a composite interaction model responsible for managing widget state such as pressed, hovered, focused.","I am a composite interaction model responsible for managing widget state such as pressed, hovered, focused.",,,,,,
GToolkit,BlMorphicWindowOpenedEvent,I am fired by morphic host window when it is opened in the World,1,,,I am fired by morphic host window when it is opened in the World,,,,,,World,,,,,,,,,,,,,,,I am fired by morphic host window when it is opened in the World,,,,,,,
GToolkit,BlUniverseEvent,I am an event that is sent to the universe by the host to control the Universe's lifecycle,1,,,I am an event that is sent to the universe by the host to control the Universe's lifecycle,,,,,,Universe,,,,,,,,,,,,,,,I am an event that is sent to the universe by the host to control the Universe's lifecycle,,,,,,,
GToolkit,GtDiagrammerArrowheadFilledTriangleStencil,I create a filled triangle arrowhead,1,,,,,,,,,,,,,,,,,,,,,,,,,I create a filled triangle arrowhead,,,,,,
GToolkit,BrPagerPageResizerElement,I am the element with which a pager page can be resized horizontally.,1,,,I am the element with which a pager page can be resized horizontally.,,,,,,,,,,,,,,,,,,,,,I am the element with which a pager page can be resized horizontally.,,,,,,,
GToolkit,GtExampleInstanceSubject,I indicate that the subject of an example is an object. I am the default subject of an example. Other kinds of subjects should be used to inducate a particular type of object like a class or method.,1,,, I am the default subject of an example.,,,,, Other kinds of subjects should be used to inducate a particular type of object like a class or method.,,,,,,,,,,,,,,,,I am the default subject of an example.,I indicate that the subject of an example is an object.,,,,,,
GToolkit,GtGraphEdgesIterator,I am an abstract iterator over edges connected to a graph element,1,,,I am an abstract iterator over edges connected to a graph element,,,,,,,,,,,,,,,,,,,,,I am an abstract iterator over edges connected to a graph element,,,,,,,
GToolkit,BlInfiniteSmoothScrollerAction,I hold information about a smooth scroll request by a SmoothScroller.,1,,,I hold information about a smooth scroll request by a SmoothScroller.,,,,,,SmoothScroller,,,,,,,,,,,,,,,,I hold information about a smooth scroll request by a SmoothScroller.,,,,,,
GToolkit,GtDiagrammerArrowheadFilledCircleStencil,I create a filled circle arrow head with the border and background equal to the color of the curve,1,,,,,,,,,,,,,,,,,,,,,,,,,I create a filled circle arrow head with the border and background equal to the color of the curve,,,,,,
GToolkit,BlMatrixTransformation,I am an affine transformation that is directly defined by transformation matrix,1,,,,,,,,,,,,,,,,,,,,,,,,I am an affine transformation that is directly defined by transformation matrix,,,,,,,
GToolkit,GtDiagrammerArrowheadNoneStencil,I am used to remove arrow heads,1,,,,,,,,,,,,,,,,,,,,,,,,,I am used to remove arrow heads,,,,,,
GToolkit,Gt4XMLHighlightedToken,This class stores a highlight TextColor and 1-based start/end highlight positions.,1,,,,,1-based start/end highlight positions.,,,,TextColor,,,,,,,,,,,,,,,,This class stores a highlight TextColor and 1-based start/end highlight positions.,,,,,,
GToolkit,BrTextEditorLetterInputFilter,I only allow letters,1,,,,,,,,,,,,,,,,,,,,,,,,,I only allow letters,,,I only allow letters,,,
GToolkit,BlConcatenationRopeIterator,I am a special iterator used to iterate over concatenation rope,1,,,I am a special iterator used to iterate over concatenation rope,,,,,,,,,,,,,,,,,,,,,I am a special iterator used to iterate over concatenation rope,I am a special iterator used to iterate over concatenation rope,,,,,,
GToolkit,GtDiagrammerEllipseStencil,I create an ellipse element,1,,,,,,,,,,,,,,,,,,,,,,,,,I create an ellipse element,,,,,,
GToolkit,BlGeometry,The geometry is used to define the geometry to be drawn and the interaction area.,1,,,The geometry is used to define the geometry to be drawn and the interaction area.,,,,,,,,,,,,,,,,,,,,,,The geometry is used to define the geometry to be drawn and the interaction area.,,,,,,
GToolkit,BlVisibilityHidden,"I am a concrete visibility type - ""hidden"".
Once set, element should not be rendered but should participate in layout and take space.",2,,,,,,,,,,,,,,,,,"Once set, element should not be rendered but should participate in layout and take space.",,,,,,,"I am a concrete visibility type - ""hidden"".",,,,"Once set, element should not be rendered but should participate in layout and take space.",,,
GToolkit,GtSnippetElementHolder,"I hold a snippet element within an infinite list element.
I know my unique snippet type (pharo code, url, empty etc)",2,,,,,,,,,,,,,,,,,,,,,,,,,"I hold a snippet element within an infinite list element.I know my unique snippet type (pharo code, url, empty etc)",,,,,,
GToolkit,BlInfiniteItemAnimationsFinished,"I am sent when all pending or running animations in an ItemAnimator are finished.
I can be used, for example, to delay an action in a data set until currently-running animations are complete.",2,,,,,,,,,,,,,,,,,,,,,,,,,"I can be used, for example, to delay an action in a data set until currently-running animations are complete.",,,,,I am sent when all pending or running animations in an ItemAnimator are finished.,
GToolkit,TBlEventTarget,"I implement a basic infrastructure of event management.
Any object that needs to be able to handle events should use me.",2,,,,,,,,,,,,,,,,,Any object that needs to be able to handle events should use me.,,,,,,,,I implement a basic infrastructure of event management.,,,,,,
GToolkit,TSpartaStrokeOptions,"I define an api of stroke options object.
Stroke options are used in stroking operations.",2,,,,"I define an api of stroke options object.
Stroke options are used in stroking operations.",,,,,,,,,,,,,,,,,,,,,"I define an api of stroke options object.
Stroke options are used in stroking operations.",,,,,,
GToolkit,BlMeasurementUnspecifiedMode,"I represent a concrete implementation of ""unspecified"" measurement mode.
For more information see class comment of BlMeasurementMode",2,,,,,,,,,BlMeasurementMode,,,,,,,,,,,,,,,"I represent a concrete implementation of ""unspecified"" measurement mode.",,For more information see class comment of BlMeasurementMode,,,,,
GToolkit,BrTextEditorSelectionRecorder,"I am used to record text selection intervals while user drags mouse over the text editor.
Additionally I play a role of a selection strategy to support single or multiple selection.",2,,,"I am used to record text selection intervals while user drags mouse over the text editor.
Additionally I play a role of a selection strategy to support single or multiple selection.",,,,,,,,,,,,,,,,,,,,,,"I am used to record text selection intervals while user drags mouse over the text editor.
Additionally I play a role of a selection strategy to support single or multiple selection.",,,,,,
GToolkit,BlDragDelegate,"Drag delegate provides drag items when a visual element lifts.
Drag gesture fails if there are no drag items",2,,,,,,,,,,,,,,,,,,,,,,,,,"Drag delegate provides drag items when a visual element lifts.
Drag gesture fails if there are no drag items",,,,,,
GToolkit,SpUserFontSourceBuffer,"I am a buffer source.
Is useful if font is stored as byte array in the image",2,,,,,,,,,,,,,,,,,Is useful if font is stored as byte array in the image,,,,,,,I am a buffer source.,,,,,,,
GToolkit,BlScalableFitHeightStrategy,"I make sure that content element fits vertically within scalable element.

It makes sense to use me if scalable element has fixed or matching parent vertical size but fits content horizontally.",3,,,,,,,,,,,,,,,,,It makes sense to use me if scalable element has fixed or matching parent vertical size but fits content horizontally.,,,,,,,,I make sure that content element fits vertically within scalable element.,,,,,,
GToolkit,BlGridLayoutUsageExamples,"I contain examples of a grid layout

I show how different resizing strategies work and how to build advanced layouts with the help of a grid",3,,,,,,,,,,,,,,,,,,,,,,,,,"I contain examples of a grid layout

I show how different resizing strategies work and how to build advanced layouts with the help of a grid",,,,,,
GToolkit,GtConnectorButtonCreatedEvent,"Is sent by ButtonAttribute after button is created.

I allow Connector to be notified and attach its own additional handlers to newly created button",3,,,"Is sent by ButtonAttribute after button is created.

I allow Connector to be notified and attach its own additional handlers to newly created button",,,,,,,,,,,,,,,,,,,,,,"Is sent by ButtonAttribute after button is created.

I allow Connector to be notified and attach its own additional handlers to newly created button",,,,,Is sent by ButtonAttribute after button is created.,
GToolkit,BlPerpendicularFractionAnchor,"I am a virtual anchor that lays on a perpendicular to a line between two reference anchors.

The curvature - distance from the line connecting reference anchors is defined as a fraction (curvatureFraction) of a length between anchors.",3,,,,,"
The curvature - distance from the line connecting reference anchors is defined as a fraction (curvatureFraction) of a length between anchors.",,,,,,,,,,,,,,,,,,,"I am a virtual anchor that lays on a perpendicular to a line between two reference anchors.
",I am a virtual anchor that lays on a perpendicular to a line between two reference anchors.,,,,,,
GToolkit,GtLibraryInstallerLogAnnouncement,"I am sent by installer when it tries to log some messages.

The UI may want to display them in a Transcript",3,,,"
The UI may want to display them in a Transcript",,,,,,,,,,,,,,,,,,,,,,"I am sent by installer when it tries to log some messages.
",,,,,,
GToolkit,BrEditorTextFlowLine,"I represent a single line of a flow layout.

I store reference to the next line in order to avoid unnecessary array of lines creation for a very common case of just one line",3,,,,,,,,,,,,,,,,,,,,,,,,I represent a single line of a flow layout.,"
I store reference to the next line in order to avoid unnecessary array of lines creation for a very common case of just one line",,,,,,
GToolkit,BlSpartaMozSkiaCanvasBuilder,"I am a copy of class BlSpartaMozCanvasBuilder. This comment is copied from there, and might not be entirely accurate

I build sparta canvas using Moz2D backend",3,,,,,,,,,,,,,,,,,,,,,,,,I am a copy of class BlSpartaMozCanvasBuilder.,I build sparta canvas using Moz2D backend,I am a copy of class BlSpartaMozCanvasBuilder.,,"This comment is copied from there, and might not be entirely accurate",,,
GToolkit,GtDiagrammerEditorList,"I display a list of editors of an object in a vertical list.

I fetch data from the diagrammer editor data source",3,,,"I display a list of editors of an object in a vertical list.

I fetch data from the diagrammer editor data source",,,,,,,,,,,,,,,,,,,,,,"I display a list of editors of an object in a vertical list.

I fetch data from the diagrammer editor data source",,,,,,
GToolkit,BlMorphicHostSpace,"I am a host space created by BlMorphicHost.
I make it possible to embed Bloc space within arbitrary morphs.
For more information and example, please refer to BlMorphicHost.",3,,,,,,,,,,,,,,,,,,,,,,,,"""I am a host space created by BlMorphicHost.",I make it possible to embed Bloc space within arbitrary morphs.,"
For more information and example, please refer to BlMorphicHost.""",,,,,
GToolkit,BlScalableFitWidthStrategy,"I make sure that content element fits horizontally within scalable element.

It makes sense to use me if scalable element has fixed or matching parent horizontal size but fits content vertically.",3,,,,,,,,,,,,,,,,,"
It makes sense to use me if scalable element has fixed or matching parent horizontal size but fits content vertically.",,,,,,,,I make sure that content element fits horizontally within scalable element.,,,,,,
GToolkit,GtDiagrammerExamples,"!Diagrammer

[[[example=GtDiagrammerExamples>>#diagrammer|expanded=true|noCode=true|show=gtLiveIn:]]]",3,,,,,,,,,,"!Diagrammer

[[[example=GtDiagrammerExamples>>#diagrammer|expanded=true|noCode=true|show=gtLiveIn:]]]",,,,,,,,,,,,,,,,,,,,,
GToolkit,BlTime,"I encapsulate a concept of time and play a role of a time provider for Animations or other parts of the system that compute durations or how much time passed since some action.

Bloc components must not directly rely on system time or hardcode it in any place because it prevents us from simulating spaces. The use of me makes system exemplifiable",3,,,I encapsulate a concept of time and play a role of a time provider for Animations or other parts of the system that compute durations or how much time passed since some action.,,,,,,Animations,,,,,,,,,,,,,,,,I encapsulate a concept of time and play a role of a time provider for Animations or other parts of the system that compute durations or how much time passed since some action.,,,Bloc components must not directly rely on system time or hardcode it in any place because it prevents us from simulating spaces. The use of me makes system exemplifiable,,,
GToolkit,GtExampleDependenciesResolver,"I know how to extract the dependencies of a given example. The dependencies of a given example consists in message sends to other method constructing an example. 

To determine if a message send represents a dependency to a method containing an example, I use heuristic defined by subclasses of ==GtExampleDependencyResolver==. ",3,,,,,"To determine if a message send represents a dependency to a method containing an example, I use heuristic defined by subclasses of ==GtExampleDependencyResolver==.",,,, ==GtExampleDependencyResolver==,,,,,,,,,,,,,,,,I know how to extract the dependencies of a given example. The dependencies of a given example consists in message sends to other method constructing an example.,,,,,,
GToolkit,BlInfiniteDataSourceCommandType,"I am a type of data source update command.
I suppose to be stateless and therefore immutable.
For performance and memory reasons I provide a unique instance of me to be shared among my users",3,,,,,"I suppose to be stateless and therefore immutable.
For performance and memory reasons I provide a unique instance of me to be shared among my users",,,,,,,,,,,,,,,,,,,I am a type of data source update command.,,,,,,,
GToolkit,GtGraphTreemapSlice,"My subclasses implement treemap slice algorithms.
See my subclasses for more details and examples: ${class:GtGraphTreemapSlice|show=gtSubclassesFor:|expanded=true}$
",3,,,,,,,,"My subclasses implement treemap slice algorithms.
See my subclasses for more details and examples: ${class:GtGraphTreemapSlice|show=gtSubclassesFor:|expanded=true}$
",,,,,,,,,,,,,,,,,,See my subclasses for more details and examples: ${class:GtGraphTreemapSlice|show=gtSubclassesFor:|expanded=true}$,,,,,
GToolkit,BlMouseMoveEvent,"The mouse move event is fired when a pointing device (usually a mouse) is moved while over an element.

https://developer.mozilla.org/en-US/docs/Web/Events/mousemove",3,,,The mouse move event is fired when a pointing device (usually a mouse) is moved while over an element.,,,,,,,,,,,,https://developer.mozilla.org/en-US/docs/Web/Events/mousemove,,,,,,,,,,,https://developer.mozilla.org/en-US/docs/Web/Events/mousemove,,,,,
GToolkit,GtPlotterScaleDomain,"In mathematics, and more specifically in naive set theory, the domain of definition (or simply the domain) of a function is the set of ""input"" or argument values for which the function is defined. That is, the function provides an ""output"" or value for each member of the domain.[1] Conversely, the set of values the function takes on as output is termed the image of the function, which is sometimes also referred to as the range of the function.

https://en.wikipedia.org/wiki/Domain_of_a_function",3,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Domain_of_a_function,,,"In mathematics, and more specifically in naive set theory, the domain of definition (or simply the domain) of a function is the set of ""input"" or argument values for which the function is defined. That is, the function provides an ""output"" or value for each member of the domain.[1] Conversely, the set of values the function takes on as output is termed the image of the function, which is sometimes also referred to as the range of the function.",,,,,,,,,,,,,
GToolkit,BlSpaceFramePhase,"I represent a frame phase.

Each phase knows about its start time and send a corresponding event once the phase is completed.",3,,,,,,,,,,,,,,,,,,,,,,,,I represent a frame phase.,Each phase knows about its start time and send a corresponding event once the phase is completed.,,,,,,
GToolkit,BlElementSelectionAcquiredEvent,"Is sent when element gets inside of mouse selection rectangle or when the overlapping rectangle formed by element's bounds and selection rectangle changes.

Text containing elements should react on this event and select a corresponding portion of text within selection rectangle",3,,,Is sent when element gets inside of mouse selection rectangle or when the overlapping rectangle formed by element's bounds and selection rectangle changes.,,,,,,,,,,,,,,,,,,,,,,,,,Text containing elements should react on this event and select a corresponding portion of text within selection rectangle,,Is sent when element gets inside of mouse selection rectangle or when the overlapping rectangle formed by element's bounds and selection rectangle changes.,
GToolkit,BlElementPositionChangedEvent,"Is sent when element's position within its parent changes.

Note: position may change even if an element has no parent",3,,,Is sent when element's position within its parent changes.,,,,,,,,,,,,,,,,,,,,,,,,,Note: position may change even if an element has no parent,,Is sent when element's position within its parent changes,
GToolkit,GtPlotterAxisProjection,"I represent a projection value  of a domain object on the axis.

Given a Point (20@30) as a domain object and euclidian coordinate system.
Then projection of that point on continuous X-Axis would be 20 and projection on Y-axis would be 30.

A projection of a domain object on discrete axis is an index of that object in a data set",4-9,,,,,A projection of a domain object on discrete axis is an index of that object in a data set,,,,,"Given a Point (20@30) as a domain object and euclidian coordinate system.
Then projection of that point on continuous X-Axis would be 20 and projection on Y-axis would be 30.",,,,,,,,,,,,,,I represent a projection value of a domain object on the axis.,,,,,,,
GToolkit,BlDevScripterCheckFiredEventsStep,"I check whether particular ${class:BlEvent}$ events were fired on a ${class:BlElement}$ target.

!! Example

Here you can see how to configure a fire and check a click event on a child element:
${example:BlDevScripterExamples>>#clickCheck|previewExpanded=true|previewHeight=400}$",4-9,,,,,,,,,,"!! Example

Here you can see how to configure a fire and check a click event on a child element:
${example:BlDevScripterExamples>>#clickCheck|previewExpanded=true|previewHeight=400}$
",,,,,,,,,,,,,,,I check whether particular ${class:BlEvent}$ events were fired on a ${class:BlElement}$ target.,,,,,,
GToolkit,BlHostPulseLoop,"I am the Bloc main loop.
I indicate to the Universe that is time to synchronize the state of the elements. 

A pulse is fired every 16ms (if possible) to obtain 60 frames per second (fps) maximum.  This may be delayed if there are background processes wanting to run (to ensure that background calculation of UI elements can complete).  See ${method:name=BlPulseLoop>>#wait} for details of how the loop time is regulated.

The opened spaces listen the pulse to be synchronized and to update their state when it is needed.",4-9,,,,,A pulse is fired every 16ms (if possible) to obtain 60 frames per second (fps) maximum.  This may be delayed if there are background processes wanting to run (to ensure that background calculation of UI elements can complete). The opened spaces listen the pulse to be synchronized and to update their state when it is needed.,,,,,,,,,,,,,,,,,,,I am the Bloc main loop.,I indicate to the Universe that is time to synchronize the state of the elements. ,See ${method:name=BlPulseLoop>>#wait} for details of how the loop time is regulated.,,,,,
GToolkit,BlKeyCombination,"I represent an abstract key combination which is the most important part of ===BlShortcut===.
I define an event matching API that allows ===BlShortcutHandler=== to find the most appropriate shortcut for currently pressed keys.

I have support of Visitor pattern. See ===BlKeyCombinationVisitor===

See ===BlKeyCombinationExamples=== for related examples.",4-9,,,,,,,,,"BlKeyCombinationVisitor
BlKeyCombinationExamples
BlShortcutHandler",,,,,,,,,,,,,,,I represent an abstract key combination which is the most important part of ===BlShortcut===.,I define an event matching API that allows ===BlShortcutHandler=== to find the most appropriate shortcut for currently pressed keys.I have support of Visitor pattern,"See ===BlKeyCombinationVisitor===

See ===BlKeyCombinationExamples=== for related examples.",,,,,
GToolkit,BlClickEvent,"The click event is fired when a pointing device button (a mouse's primary button) is pressed and released on a single element.

The order of fired events:

 - Mouse Down
 - Mouse Up
 - Click",4-9,,,,,"The order of fired events:

 - Mouse Down
 - Mouse Up
 - Click",,,,,,,,,,,,,,,,,,,,The click event is fired when a pointing device button (a mouse's primary button) is pressed and released on a single element.,,,,,,
GToolkit,TSpTextRun,"I define an API of a Text run - an object that holds an array of glyphs that represent a piece of text.

Note that TextRun is optimised for the case of simple ASCII string (all chars are 8 bit), simple multilanguage string (all chars are 16 bit) and complex scripts (characters have various length of 8-32 bits).

Users should never instantiate TextRun directly, instead ask TextPainter to do the necessary job - it is needed to support backend specific text runs",4-9,,,,,"Note that TextRun is optimised for the case of simple ASCII string (all chars are 8 bit), simple multilanguage string (all chars are 16 bit) and complex scripts (characters have various length of 8-32 bits).",,,,,,,,,,,,,,,,,,, an object that holds an array of glyphs that represent a piece of text.,I define an API of a Text run,,,"Note that TextRun is optimised for the case of simple ASCII string (all chars are 8 bit), simple multilanguage string (all chars are 16 bit) and complex scripts (characters have various length of 8-32 bits).

Users should never instantiate TextRun directly, instead ask TextPainter to do the necessary job - it is needed to support backend specific text runs",,,
GToolkit,BlChildrenOrderedCollectionExamples,"I define examples for the class ${class:BlChildrenOrderedCollection}$.

Instances of ${class:BlChildrenOrderedCollection}$ are created by directly instatiating the class.
${example:BlChildrenOrderedCollectionExamples>>#emptyChildrenExplicitCreation}$

Bloc elements can then be added and removed from the collection.
${example:BlChildrenOrderedCollectionExamples>>#add}$

${example:BlChildrenOrderedCollectionExamples>>#remove}$",4-9,,,,,,"Instances of ${class:BlChildrenOrderedCollection}$ are created by directly instatiating the class.
${example:BlChildrenOrderedCollectionExamples>>#emptyChildrenExplicitCreation}$",,,,"Bloc elements can then be added and removed from the collection
Bloc elements can then be added and removed from the collection.
${example:BlChildrenOrderedCollectionExamples>>#add}$

${example:BlChildrenOrderedCollectionExamples>>#remove}$",,,,,,,,,,,,,,,I define examples for the class ${class:BlChildrenOrderedCollection}$.,,,,,,
GToolkit,BlFocusExamples,"How to:

        1) Inspect / run example
        2) Click one any cell to give it a focus (blue border should appear)
        3) Navigate with keyboard arrows (arrow up/down left/right)",4-9,,,,,,,,,,"How to:

        1) Inspect / run example
        2) Click one any cell to give it a focus (blue border should appear)
        3) Navigate with keyboard arrows (arrow up/down left/right)",,,,,,,,,,,,,,,,,,,,,
GToolkit,BlArrowheadTriangle,"I am a triangular arrow head.
My size depends on the width of a curve and hence can not be manually specified.

It is possible to have a border around triangle by specifying a border width of a triangle arrowhead.

I support background and border paints.
 - For hollow arrowhead let background be transparent.
 - For solid arrowhead make background paint be the same as border paint.
         (it is possible to specify different paints for border and background)",4-9,,,,,It is possible to have a border around triangle by specifying a border width of a triangle arrowhead.,,,,,,,,,,,,,,,,,,,I am a triangular arrow head.,"My size depends on the width of a curve and hence can not be manually specified.
 I support background and border paints.
 - For hollow arrowhead let background be transparent.
 - For solid arrowhead make background paint be the same as border paint.
         (it is possible to specify different paints for border and background)",,,,,,
GToolkit,BlMatrix2D,"I represent a matrix used for 2D affine transformations.
https://en.wikipedia.org/wiki/Matrix_(mathematics)

My components are named according to mathematical convention:

 |  a11  a12  |                 |   sx     shy  |
 |  a21  a22  |       =>     |  shx    sy    |
 |  a31  a32  |                 |    x        y     |",4-9,,,,,"My components are named according to mathematical convention:

 |  a11  a12  |                 |   sx     shy  |
 |  a21  a22  |       =>     |  shx    sy    |
 |  a31  a32  |                 |    x        y     |",,,,,,,,,,https://en.wikipedia.org/wiki/Matrix_(mathematics),,,,,,,,,I represent a matrix used for 2D affine transformations.,,,,,,,
GToolkit,BrTextEditor,"! The Moldable Editor

I edit text and provide high level abstractions of essential text editor functionality such as selection, cursor, text insertions and deletions.

I make use of ${class:BrTextAdornmentAttribute}$ to augment text with visual elements. 

I subclass infinite data source in order to be able to smoothly display practically infinite amounts of text.",4-9,,,"
I make use of ${class:BrTextAdornmentAttribute}$ to augment text with visual elements. ",,,,,"
I subclass infinite data source in order to be able to smoothly display practically infinite amounts of text.",${class:BrTextAdornmentAttribute}$,,,,,,,,,,,,,,,! The Moldable Editor,"I edit text and provide high level abstractions of essential text editor functionality such as selection, cursor, text insertions and deletions.",,,,,,
GToolkit,BlPolygon,"Example:

BlPolygon vertices: { 
        10@50.
        50@20.
        150@40.
        180@150.
        80@140
}",4-9,,,,,,,,,,"Example:

BlPolygon vertices: { 
        10@50.
        50@20.
        150@40.
        180@150.
        80@140
}",,,,,,,,,,,,,,,,,,,,,
GToolkit,GtRlMajorVersionComputation,"I increment the major number of a semantic version. I reset both the patch and minor parts of the version number to zero.

${example:GtRlSemanticVersionComputationExamples>>#nextMajorVersionComputation}$

If the symbolic version number on which I am applied has a patch or a minor number I reset them to zero in the created version number.
${example:GtRlSemanticVersionComputationExamples>>#nextMajorVersionComputationResettingPatchAndMinorNumbers}$",4-9,,,,,"

If the symbolic version number on which I am applied has a patch or a minor number I reset them to zero in the created version number.
",,,,,"
${example:GtRlSemanticVersionComputationExamples>>#nextMajorVersionComputationResettingPatchAndMinorNumbers}$ ${example:GtRlSemanticVersionComputationExamples>>#nextMajorVersionComputation}$",,,,,,,,,,,,,,,"I increment the major number of a semantic version. I reset both the patch and minor parts of the version number to zero.
",,,,,,
GToolkit,BlArrowheadSimpleArrow,"I am a simple arrow-like arrowhead.
Both my size and arrow length depend on the curve width.

It is possible hovewer to customize a length fraction - how long should be the outer ""arrow"" compared to the length of the side of a nose triangle.

Users can also customise nose angle that tells how wide should the arrow lines be spread.
The with of the outer arrows can be specified by changing border width of a simple arrow arrowhead.

I support both background and border paint and can have hollow inner triangle.",4-9,,,,"
It is possible hovewer to customize a length fraction - how long should be the outer ""arrow"" compared to the length of the side of a nose triangle.
",,,,,,"
Users can also customise nose angle that tells how wide should the arrow lines be spread.",,,,,,,,,,,,,,"I am a simple arrow-like arrowhead.
Both my size and arrow length depend on the curve width.
","
I support both background and border paint and can have hollow inner triangle. 
The with of the outer arrows can be specified by changing border width of a simple arrow arrowhead.",,,,,,
