stratum,class,comment,Intent,Responsibilities,Collaborators,Keymessages,Keyimplementationpoints,Classreferences,Example
1,BlTextUnderlineAttribute,"underline
i represent a text underline attribute.
i am used together with class bltext and class tbltextstyleable to style text.

https en.wikipedia.org wiki underline

see class bltextunderlineattributeexamples for examples",i represent a text underline attribute.,i am used together with class bltext and class tbltextstyleable to style text.,i am used together with class bltext and class tbltextstyleable to style text.,,,,
1,BlTime,"i encapsulate a concept of time and play a role of a time provider for animations or other parts of the system that compute durations or how much time passed since some action.

bloc components must not directly rely on system time or hardcode it in any place because it prevents us from simulating spaces. the use of me makes system exemplifiable",,i encapsulate a concept of time and play a role of a time provider for animations or other parts of the system that compute durations or how much time passed since some action.,i encapsulate a concept of time and play a role of a time provider for animations or other parts of the system that compute durations or how much time passed since some action.,,,animations,
1,BlUniverseEvent,i am an event that is sent to the universe by the host to control the universe s lifecycle,i am an event that is sent to the universe by the host to control the universe s lifecycle,,i am an event that is sent to the universe by the host to control the universe s lifecycle,,,universe,
1,BlUniverseEventsCleared,emitted when all of the event loop s events have been processed and control flow is about to be taken away from the universe.,,emitted when all of the event loop s events have been processed and control flow is about to be taken away from the universe.,,,,,
1,BlVisibilityHidden,"i am a concrete visibility type hidden .
once set, element should not be rendered but should participate in layout and take space.",i am a concrete visibility type hidden .,,,,,,
1,BrEditorTextFlowLine,"i represent a single line of a flow layout.

i store reference to the next line in order to avoid unnecessary array of lines creation for a very common case of just one line",i represent a single line of a flow layout.,i store reference to the next line in order to avoid unnecessary array of lines creation for a very common case of just one line,,,,,
1,BrExampleColoredElementStencil,i am an example of a custom stencil that creates a rounded rectangular element with cusomizable background color and corner radius,i am an example of a custom stencil,that creates a rounded rectangular element with cusomizable background color and corner radius,,that creates a rounded rectangular element with cusomizable background color and corner radius,,,
1,BrExamplesShowroom,"i am a collection of showroom examples.

buttons

in the example below we show all existing button styles
example brexamplesshowroom class #allbuttons expanded nocode

the following glamorous button reacts to various ui interaction events and changes its style according the state pressed, hovered
example brexamplesshowroom #glamorousbutton

button can also be disabled to prevent click events
example brexamplesshowroom #glamorousdisabledbutton

toggles

toggle buttons can have radically different look, while the behaviour of all of them is exactly the same.
example brexamplesshowroom class #alltoggles nocode

labelled toggle

to create a toggle button with a label user should the corresponding class brmaterialtogglewithiconlook

example brexamplesshowroom #materiallabeltoggle

iconified toggle

similarly we can use the icon look to build an iconified toggle
example brexamplesshowroom #materialicontoggle

iconified labelled toggle

we can compose label and icon looks to create a toggle button with both label and the icon. note that the order of looks defines the visual order of the label and icon

example brexamplesshowroom #materialtoggle

thus being said by swapping the label and icon look we can move the icon to the right from the label

example brexamplesshowroom #materialreversedtoggle

accordion

accordion is the exandable and collapsable widget that consists of a header and a content. any visual class blelement can be a header of the accordion. the following example shows how a class brbutton can be used an accordion header

example brexamplesshowroom #accordion

tabs

the following example shows how to create a tab group widget with 3 tabs. the content of each tab is defined with the help of a stencil.

example brexamplesshowroom #glamoroustabs

toolbar

the toolbar is a logical set of action buttons either labelled or iconified .
example brexamplesshowroom #glamoroustoolbar
example brexamplesshowroom #materialtoolbar

list

the example below describes how to instantiate a new instance of the simple list that only has one column
example brexamplesshowroom #simplelist nocode

example brexamplesshowroom #columnedlist nocode",i am a collection of showroom examples.,,,,,,"buttons

in the example below we show all existing button styles
example brexamplesshowroom class #allbuttons expanded nocode

the following glamorous button reacts to various ui interaction events and changes its style according the state pressed, hovered
example brexamplesshowroom #glamorousbutton

button can also be disabled to prevent click events
example brexamplesshowroom #glamorousdisabledbutton

toggles

toggle buttons can have radically different look, while the behaviour of all of them is exactly the same.
example brexamplesshowroom class #alltoggles nocode

labelled toggle

to create a toggle button with a label user should the corresponding class brmaterialtogglewithiconlook

example brexamplesshowroom #materiallabeltoggle

iconified toggle

similarly we can use the icon look to build an iconified toggle
example brexamplesshowroom #materialicontoggle

iconified labelled toggle

we can compose label and icon looks to create a toggle button with both label and the icon. note that the order of looks defines the visual order of the label and icon

example brexamplesshowroom #materialtoggle

thus being said by swapping the label and icon look we can move the icon to the right from the label

example brexamplesshowroom #materialreversedtoggle

accordion

accordion is the exandable and collapsable widget that consists of a header and a content. any visual class blelement can be a header of the accordion. the following example shows how a class brbutton can be used an accordion header

example brexamplesshowroom #accordion

tabs

the following example shows how to create a tab group widget with 3 tabs. the content of each tab is defined with the help of a stencil.

example brexamplesshowroom #glamoroustabs

toolbar

the toolbar is a logical set of action buttons either labelled or iconified .
example brexamplesshowroom #glamoroustoolbar
example brexamplesshowroom #materialtoolbar

list

the example below describes how to instantiate a new instance of the simple list that only has one column
example brexamplesshowroom #simplelist nocode

example brexamplesshowroom #columnedlist nocode"
1,BrGlamorousIcons,"i am a glamorous icons container. you can import new icons using method name brglamorousicons class #importiconsfromdirectory using the script below. it imports all png files and creates class methods with the same name.

brglamorousicons importiconsfromdirectory . gt icons asfilereference

here is a list of available icons

class brglamorousicons show gticonsfor expanded",i am a glamorous icons container.,you can import new icons using method name brglamorousicons class #importiconsfromdirectory using the script below. it imports all png files and creates class methods with the same name.,,"here is a list of available icons

class brglamorousicons show gticonsfor expanded",you can import new icons using method name brglamorousicons class #importiconsfromdirectory using the script below.,,it imports all png files and creates class methods with the same name. brglamorousicons importiconsfromdirectory . gt icons asfilereference
1,BrInteractiveModel,"i am a composite interaction model responsible for managing widget state such as pressed, hovered, focused.","i am a composite interaction model responsible for managing widget state such as pressed, hovered, focused.","i am a composite interaction model responsible for managing widget state such as pressed, hovered, focused.","i am a composite interaction model responsible for managing widget state such as pressed, hovered, focused.",,,,
1,BrLook,i define how widgets look. in addition to the brviewmodel i listen to ui events and update decoration non meaningful elements of the widgets,,i define how widgets look. in addition to the brviewmodel i listen to ui events and update decoration non meaningful elements of the widgets,in addition to the brviewmodel i listen to ui events and update decoration non meaningful elements of the widgets,,,brviewmodel,
1,BrMaterialToggleBackgroundLook,i describe how background of a material toggle button changes due to toggle events,,i describe how background of a material toggle button changes due to toggle events,,,,,
1,BrPagerPagePreviewResizeListener,i update the size of a page preview element in a scroll bar according to the size of a corresponding page,,i update the size of a page preview element in a scroll bar according to the size of a corresponding page,,,,,
1,BrPagerPageResizerElement,i am the element with which a pager page can be resized horizontally.,i am the element with which a pager page can be resized horizontally.,,i am the element with which a pager page can be resized horizontally.,,,,
1,BrSelectionRequest,i am sent by a look to request selection update from the view model,,i am sent by a look to request selection update from the view model,,,,,
1,BrTabAddedEvent,i am sent when a new tab is added to class brtabgroupmodel,,i am sent when a new tab is added to class brtabgroupmodel,i am sent when a new tab is added to class brtabgroupmodel,,,class brtabgroupmodel,
1,BrTextEditor,"the moldable editor

i edit text and provide high level abstractions of essential text editor functionality such as selection, cursor, text insertions and deletions.

i make use of class brtextadornmentattribute to augment text with visual elements.

i subclass infinite data source in order to be able to smoothly display practically infinite amounts of text.",the moldable editor,"i edit text and provide high level abstractions of essential text editor functionality such as selection, cursor, text insertions and deletions.",i make use of class brtextadornmentattribute to augment text with visual elements.,,,class brtextadornmentattribute,
1,BrTextEditorCursorElementRemovedEvent,i am sent by the text editor element when an element playing a role of the cursor is removed from the editor,i am sent by the text editor element,i am sent by the text editor element when an element playing a role of the cursor is removed from the editor,,,,,
1,BrTextEditorExamples,"today we will learn how to compose an editor

it is as simple as computing a factorial, a piece of cake!

show gtprintin
10 factorial

first create the text

example brtexteditorexamples #newtext

next, we build the editor

example brtexteditorexamples #neweditor

then, we attach text to the enditor.

example brtexteditorexamples #editor text

next, we create an editor element.

example brtexteditorexamples #newelement show gtlivein

and finally, build everything together

example brtexteditorexamples #element editortext show gtlivein

done",,today we will learn how to compose an editor,,,,,"show gtprintin
10 factorial

first create the text

example brtexteditorexamples #newtext

next, we build the editor

example brtexteditorexamples #neweditor

then, we attach text to the enditor.

example brtexteditorexamples #editor text

next, we create an editor element.

example brtexteditorexamples #newelement show gtlivein

and finally, build everything together

example brtexteditorexamples #element editortext show gtlivein

done"
1,BrTextEditorLetterInputFilter,i only allow letters,,i only allow letters,,,,,
1,BrTextEditorLineSplitter,i split a piece of text into line segments class brtexteditorlinesegment,,i split a piece of text into line segments class brtexteditorlinesegment,,,,class brtexteditorlinesegment,
1,BrTextEditorSelectionRecorder,"i am used to record text selection intervals while user drags mouse over the text editor.
additionally i play a role of a selection strategy to support single or multiple selection.",,"i am used to record text selection intervals while user drags mouse over the text editor.
additionally i play a role of a selection strategy to support single or multiple selection.","i am used to record text selection intervals while user drags mouse over the text editor.
additionally i play a role of a selection strategy to support single or multiple selection.",,,,
1,BrTextEditorSelectionUpdateCommand,i do the hard job of visually updating selection by requesting segment holders to partially update themselves,,i do the hard job of visually updating selection by requesting segment holders to partially update themselves,,i do the hard job of visually updating selection by requesting segment holders to partially update themselves,,,
1,GlutinResumedEvent,emitted when the application has been resumed.,,emitted when the application has been resumed.,,,,,
1,Gt4XMLHighlightedToken,this class stores a highlight textcolor and 1 based start end highlight positions.,,this class stores a highlight textcolor and 1 based start end highlight positions.,,,1 based start end highlight positions.,textcolor,
1,GtABAddress,i hold all data relevant for an address,,i hold all data relevant for an address,,,,,
1,GtConnectorButtonAddedEvent,is sent after button is added to the scene graph,,is sent after button is added to the scene graph,,,,,
1,GtConnectorButtonCreatedEvent,"is sent by buttonattribute after button is created.

i allow connector to be notified and attach its own additional handlers to newly created button",,"is sent by buttonattribute after button is created.

i allow connector to be notified and attach its own additional handlers to newly created button","is sent by buttonattribute after button is created.

i allow connector to be notified and attach its own additional handlers to newly created button",,,,
1,GtDiagrammerArrowheadFilledCircleStencil,i create a filled circle arrow head with the border and background equal to the color of the curve,,i create a filled circle arrow head with the border and background equal to the color of the curve,,,,,
1,GtDiagrammerArrowheadFilledTriangleStencil,i create a filled triangle arrowhead,,i create a filled triangle arrowhead,,,,,
1,GtDiagrammerArrowheadNoneStencil,i am used to remove arrow heads,,i am used to remove arrow heads,,,,,
1,GtDiagrammerDummyTool,i am a dummy tool that does nothing,i am a dummy tool,that does nothing,,,,,
1,GtDiagrammerEditorList,"i display a list of editors of an object in a vertical list.

i fetch data from the diagrammer editor data source",,"i display a list of editors of an object in a vertical list.

i fetch data from the diagrammer editor data source","i display a list of editors of an object in a vertical list.

i fetch data from the diagrammer editor data source",,,,
1,GtDiagrammerEllipseStencil,i create an ellipse element,,i create an ellipse element,,,,,
1,GtDiagrammerExamples,"diagrammer

example gtdiagrammerexamples #diagrammer expanded true nocode true show gtlivein",,,,,,,"diagrammer

example gtdiagrammerexamples #diagrammer expanded true nocode true show gtlivein"
1,GtDiagrammerPicker,"i am a scriptable toogle group to display a uniform collection of selectable values.

picker
picker gtdiagrammerpicker new.
picker layout blflowlayout horizontal.
picker display hello . world . i . am . a . picker .
picker shape astring brtoggle new
look brmaterialtogglelabelledlook
margin blinsets all 3
label astring .
picker constraintsdo c
c horizontal exact 400.
c vertical fitcontent .
picker when brtoggleactivatedevent do anevent self inform anevent model .
picker",i am a scriptable toogle group to display a uniform collection of selectable values.,,,,,,"picker
picker gtdiagrammerpicker new.
picker layout blflowlayout horizontal.
picker display hello . world . i . am . a . picker .
picker shape astring brtoggle new
look brmaterialtogglelabelledlook
margin blinsets all 3
label astring .
picker constraintsdo c
c horizontal exact 400.
c vertical fitcontent .
picker when brtoggleactivatedevent do anevent self inform anevent model .
picker"
1,GtDiagrammerStarStencil,i create a star element,,i create a star element,,,,,
1,GtExampleDependenciesResolver,"i know how to extract the dependencies of a given example. the dependencies of a given example consists in message sends to other method constructing an example.

to determine if a message send represents a dependency to a method containing an example, i use heuristic defined by subclasses of gtexampledependencyresolver .",,i know how to extract the dependencies of a given example. the dependencies of a given example consists in message sends to other method constructing an example.,,,"to determine if a message send represents a dependency to a method containing an example, i use heuristic defined by subclasses of gtexampledependencyresolver .",gtexampledependencyresolver,
1,GtExampleFactory,"i am a factory that can create class gtexample instances.

users should configure me with a #sourceclass . this is the class used to look for methods defining examples. to create an example, a method defining an example is executed having a provider as a receiver. if the example method is defined on the class side, the provider is the class object. if the method is defined on the instance side, the provider consists in a new instance of that class. in the second case, a new instance is created for running each example method. optionally users can configure the factory with an explicit provider. if this is done, this provider will be used for all examples created by the factory.

to initialize the subjects of an example i call #gtexamplesubjects on the provider object.
to initialize various properties of an example i detect all pragmas from the example method for which a method exists in class of the example the method should have the same name as the pragma keyword . then i execute those methods with the example as a receiver and the pragma arguments.",i am a factory that can create class gtexample instances.,,,users should configure me with a #sourceclass .,"users should configure me with a #sourceclass . this is the class used to look for methods defining examples. to create an example, a method defining an example is executed having a provider as a receiver. if the example method is defined on the class side, the provider is the class object. if the method is defined on the instance side, the provider consists in a new instance of that class. in the second case, a new instance is created for running each example method. optionally users can configure the factory with an explicit provider. if this is done, this provider will be used for all examples created by the factory.

to initialize the subjects of an example i call #gtexamplesubjects on the provider object.
to initialize various properties of an example i detect all pragmas from the example method for which a method exists in class of the example the method should have the same name as the pragma keyword . then i execute those methods with the example as a receiver and the pragma arguments.",class gtexample,"to initialize the subjects of an example i call #gtexamplesubjects on the provider object.
to initialize various properties of an example i detect all pragmas from the example method for which a method exists in class of the example the method should have the same name as the pragma keyword . then i execute those methods with the example as a receiver and the pragma arguments."
1,GtExampleInstanceSubject,i indicate that the subject of an example is an object. i am the default subject of an example. other kinds of subjects should be used to inducate a particular type of object like a class or method.,i am the default subject of an example.,i indicate that the subject of an example is an object.,i am the default subject of an example.,,,,
1,GtExampleProcessor,"i am an abstract class for manipulating examples.

my subclasses can add different semantics for different use cases. for example, evaluating an example is to be treated differently from a debugging scenario, or from a scenario to recorver static dependencies.

i maintain a context that can be accessed from within the examples being processed during the execution of the processor.

#value execute the processor. can return a value, depending on the processor.
#canprocess verifies if the processor can execute on the given example.",i am an abstract class for manipulating examples.,i maintain a context that can be accessed from within the examples being processed during the execution of the processor.,,"#value execute the processor. can return a value, depending on the processor.
#canprocess verifies if the processor can execute on the given example.",,,"for example, evaluating an example is to be treated differently from a debugging scenario, or from a scenario to recorver static dependencies."
1,GtGradAbstractTreeLayout,"this an implementation of a moen s tree layout algorithm.
moen s algorithm attempts to create a tree with a triangular shape and place nodes somewhat simetrically. it is an extension of the well known reingold tilfold algorithm. it improved the older algorithm s ability to handle non uniform sized nodes. moen s trees are oriented horizontally. however, this implementation offers the posibility of choosing the orientation vertical or horizontal.

the reingold tilfold algorithm, and thus moen s also, starts with a bottom up traversal of the tree. it calculates left and right subtrees of a tree and merges them. when doing that, it makes sure that the parents are centered above their children. reignold tilfold s algorithm was originally designed only for binary trees, but later extended to work for non binary ones as well. while reignold tilfold s algorithm produces a compact tree layout, moen s strives to make a tighter one. to accomplish that, it uses shapes represented by polyline structures. these shapes are initially formed for each leaf, so that the polyline goes around the node, but leaves the left side open. during the first phase of the algorithm s execution bottom up traversal , these shapes are merged shapes of parents are merged with shapes of children. in this implementation, we call the polylines contours. when merging contours, minimum horizontal vertical offsets at which siblings can be placed with resepct to their upper left sibling depending of the layout s orientation are calculated

once the bottom up traversal is finished, calculation of offsets is finished as well. at that point, the tree is traversed again, but this time from top root to the bottom. during this second traversal, positions of the tree s nodes are set. calculation of positions factors in the mentioned offsets, as well as the positions of the node s parent and the layout s node and level distance properties.

additionally, this implementation supports alignment of nodes top, center, bottom in case of the vertical layout and left, center, right in case of the horizontal layout . this is done through calculation of differences in sizes of nodes compared to the largest nodes on the same level, as well as the differences in sizes of their parents compared to the largest nodes on the parent level.

gtgradtreelayout is a superclass of gtgradhorizontaltreelayout and gtgradverticaltreelayout classes and contains generic tree layout methods and definitions of methods the two subclasses need to redefine. generally, the differences between the implementations of the hozitonal and vertical variants are really small, revolving around one using or setting the x and the other y coordinates.

the tree algorithms can be used to lay out inner elements of a bloc element or a mondrian view.",this an implementation of a moen s tree layout algorithm.,"however, this implementation offers the posibility of choosing the orientation vertical or horizontal.
in this implementation, we call the polylines contours. when merging contours, minimum horizontal vertical offsets at which siblings can be placed with resepct to their upper left sibling depending of the layout s orientation are calculated

once the bottom up traversal is finished, calculation of offsets is finished as well. at that point, the tree is traversed again, but this time from top root to the bottom. during this second traversal, positions of the tree s nodes are set. calculation of positions factors in the mentioned offsets, as well as the positions of the node s parent and the layout s node and level distance properties.

additionally, this implementation supports alignment of nodes top, center, bottom in case of the vertical layout and left, center, right in case of the horizontal layout . this is done through calculation of differences in sizes of nodes compared to the largest nodes on the same level, as well as the differences in sizes of their parents compared to the largest nodes on the parent level.","gtgradtreelayout is a superclass of gtgradhorizontaltreelayout and gtgradverticaltreelayout classes and contains generic tree layout methods and definitions of methods the two subclasses need to redefine. generally, the differences between the implementations of the hozitonal and vertical variants are really small, revolving around one using or setting the x and the other y coordinates.",,"moen s algorithm attempts to create a tree with a triangular shape and place nodes somewhat simetrically. it is an extension of the well known reingold tilfold algorithm. it improved the older algorithm s ability to handle non uniform sized nodes. moen s trees are oriented horizontally.

the reingold tilfold algorithm, and thus moen s also, starts with a bottom up traversal of the tree. it calculates left and right subtrees of a tree and merges them. when doing that, it makes sure that the parents are centered above their children. reignold tilfold s algorithm was originally designed only for binary trees, but later extended to work for non binary ones as well. while reignold tilfold s algorithm produces a compact tree layout, moen s strives to make a tighter one. to accomplish that, it uses shapes represented by polyline structures. these shapes are initially formed for each leaf, so that the polyline goes around the node, but leaves the left side open. during the first phase of the algorithm s execution bottom up traversal , these shapes are merged shapes of parents are merged with shapes of children.","gtgradtreelayout
gtgradtreelayout
gtgradverticaltreelayout",
1,GtGraphCircleEnclosure,"smallest enclosing circle of circles

i compute the smallest circle that encloses the specified array of circles. the enclosing circle is computed using the matou ek sharir welzl http www.inf.ethz.ch personal emo publfiles subexlinprog alg16 96.pdf algorithm.

the implementation is based on d3.packenclose circles https github.com d3 d3 hierarchy blob master src pack enclose.js

let s start with an empty enclosure
example gtgraphcircleenclosureexamples #emptyenclosure previewshow #gtpreviewfor previewheight 300

and add circles one by one, starting with a larger one. a circle enclosure is represented by a cyan circle. an enclosure of a single circle is a special case and can be computed directly by method gtgraphcircleenclosure class #enclosure . note, that the added circle has a margin set which is taken into account by enclosure
example gtgraphcircleenclosureexamples #enclosurewithonecircle previewshow #gtpreviewfor previewexpanded previewheight 300

adding a second circle expands the enclosure circle to fit both circles c1 and c2 . two circle enclosure is also a special case and can be derived directly by method gtgraphcircleenclosure class #enclosure and
example gtgraphcircleenclosureexamples #enclosurewithtwocircles previewshow #gtpreviewfor previewexpanded previewheight 300

three circle enclosure is a special case too. method gtgraphcircleenclosure class #enclosure and and is responsible for the computation. let s add the third circle to our enclosure to see the result
example gtgraphcircleenclosureexamples #enclosurewiththreecircles previewshow #gtpreviewfor previewexpanded previewheight 300

starting with four circles, an enclosure should be computed recursively by building and updating a basis enclosure consisting of one to three circles method gtgraphcircleenclosure class #enclosureall .

example gtgraphcircleenclosureexamples #enclosurewithfourcircles previewshow #gtpreviewfor previewexpanded previewheight 300",smallest enclosing circle of circles,i compute the smallest circle that encloses the specified array of circles. the enclosing circle is computed using the,,,,,"example gtgraphcircleenclosureexamples #emptyenclosure previewshow #gtpreviewfor previewheight 300

and add circles one by one, starting with a larger one. a circle enclosure is represented by a cyan circle. an enclosure of a single circle is a special case and can be computed directly by method gtgraphcircleenclosure class #enclosure . note, that the added circle has a margin set which is taken into account by enclosure
example gtgraphcircleenclosureexamples #enclosurewithonecircle previewshow #gtpreviewfor previewexpanded previewheight 300

adding a second circle expands the enclosure circle to fit both circles c1 and c2 . two circle enclosure is also a special case and can be derived directly by method gtgraphcircleenclosure class #enclosure and
example gtgraphcircleenclosureexamples #enclosurewithtwocircles previewshow #gtpreviewfor previewexpanded previewheight 300

three circle enclosure is a special case too. method gtgraphcircleenclosure class #enclosure and and is responsible for the computation. let s add the third circle to our enclosure to see the result
example gtgraphcircleenclosureexamples #enclosurewiththreecircles previewshow #gtpreviewfor previewexpanded previewheight 300

starting with four circles, an enclosure should be computed recursively by building and updating a basis enclosure consisting of one to three circles method gtgraphcircleenclosure class #enclosureall .

example gtgraphcircleenclosureexamples #enclosurewithfourcircles previewshow #gtpreviewfor previewexpanded previewheight 300"
1,GtGraphEdgesIterator,i am an abstract iterator over edges connected to a graph element,i am an abstract iterator over edges connected to a graph element,,i am an abstract iterator over edges connected to a graph element,,,,
1,GtGraphForceBasedLayout,"a roforcebasedlayout is inspired from the code of d3. the original d3 version may be found on http bl.ocks.org mbostock 4062045

layout algorithm inspired by tim dwyer and thomas jakobsen.

instance variables
alpha object
center object
charge object
charges object
fixednodes object
friction object
gravity object
layoutinitial object
length object
lengths object
nodes object
oldpositions object
strength object
strengths object
theta object
weights object

alpha
xxxxx

center
xxxxx

charge
xxxxx

charges
xxxxx

fixednodes
xxxxx

friction
xxxxx

gravity
xxxxx

layoutinitial
xxxxx

length
xxxxx

lengths
xxxxx

nodes
xxxxx

oldpositions
xxxxx

strength
xxxxx

strengths
xxxxx

theta
xxxxx

weights
xxxxx",a roforcebasedlayout is inspired from the code of d3.,,,,,,
1,GtGraphTreemapLayoutConstraints,i am a class bllayoutconstraints for class gtgraphtreemapsquarifiedlayout layout.,i am a class bllayoutconstraints for class gtgraphtreemapsquarifiedlayout layout.,,i am a class bllayoutconstraints for class gtgraphtreemapsquarifiedlayout layout.,,,class bllayoutconstraints for class gtgraphtreemapsquarifiedlayout,
1,GtGraphTreemapSlice,"my subclasses implement treemap slice algorithms.
see my subclasses for more details and examples class gtgraphtreemapslice show gtsubclassesfor expanded true",,,,,,,
1,GtGraphTreemapSliceHorizontalLayout,"i implement an horizontal slice algorithm.
i use class gtgraphtreemapslicehorizontal to compute class blelement children positions and extents.

example

example gtgraphtreemaplayoutexamples #numbersslicehorizontal codeexpanded false previewexpanded true",i implement an horizontal slice algorithm.,,i use class gtgraphtreemapslicehorizontal to compute class blelement children positions and extents.,,,"class gtgraphtreemapslicehorizontal
class blelement","example

example gtgraphtreemaplayoutexamples #numbersslicehorizontal codeexpanded false previewexpanded true"
1,GtGraphTreemapSquarify,"i split an area into rectangles that are close to squares aspect ratio 1 as much as possible.
i use method gtgraphtreemapnode #weight node values to split an area into.
i use class gtgraphtreemapsquarifystep to split area into sub areas and measure class gtgraphtreemapnode positions and extends.

the algorithm is implemented as described in the paper by mark bruls, kees huizing, and jarke j. van wij, squarified treemaps pdf https www.win.tue.nl vanwijk stm.pdf .

algorithm explanation

this is an adapted extract from the paper squarified treemaps mentioned above. suppose we have a rectangle with width example gtgraphtreemaplayoutexamples #squarifywithsevennodes label #width and height example gtgraphtreemaplayoutexamples #squarifywithsevennodes label #height , and furthermore suppose that this rectangle must be subdivided in seven rectangles with areas example gtgraphtreemaplayoutexamples #squarifywithsevennodes label #nodevalues . the area will be subdivided as follows
example gtgraphtreemaplayoutexamples #squarifywithsevennodes nocode codeexpanded false previewexpanded true previewshow #gtpreviewfor

the first step of our algorithm is to split the initial rectangle. we choose for a horizontal subdivision, because the original rectangle is wider than high. we next fill the left half. first we add a single rectangle. the aspect ratio of this first rectangle is example gtgraphtreemaplayoutexamples #squarifywithsevennodesfirststep label #worstvaluerounded .

example gtgraphtreemaplayoutexamples #squarifywithsevennodesfirststep previewexpanded true nocode

next we add a second rectangle, above the first. the worst aspect ratio improves to example gtgraphtreemaplayoutexamples #squarifywithsevennodessecondstep label #worstvaluerounded .
example gtgraphtreemaplayoutexamples #squarifywithsevennodessecondstep previewexpanded true nocode

however, if we add the next area 4 above these original rectangles, the aspect ratio of this rectangle is example gtgraphtreemaplayoutexamples #squarifywithsevennodesthirdstep label #worstvaluerounded .
example gtgraphtreemaplayoutexamples #squarifywithsevennodesthirdstep previewexpanded true nocode

therefore, we decide that we have reached an optimum for the left half in step two, and start processing the right half. the initial subdivision we choose here is vertical, because the rectangle is higher than wider. in step 4 we add the rectangle with area 4
example gtgraphtreemaplayoutexamples #squarifywithsevennodesfourthstep previewexpanded true nocode

in the next step, we add area 3. the worst aspect ratio decreases from example gtgraphtreemaplayoutexamples #squarifywithsevennodesfourthstep label #worstvaluerounded to example gtgraphtreemaplayoutexamples #squarifywithsevennodesfifthstep label #worstvaluerounded
example gtgraphtreemaplayoutexamples #squarifywithsevennodesfifthstep previewexpanded true nocode

addition of the next area 2 however does not improve the result as the worst aspect ratio increases from example gtgraphtreemaplayoutexamples #squarifywithsevennodesfifthstep label #worstvaluerounded to example gtgraphtreemaplayoutexamples #squarifywithsevennodessixthstep label #worstvaluerounded
example gtgraphtreemaplayoutexamples #squarifywithsevennodessixthstep previewexpanded true nocode

so we reject the previous step and start to fill the right top partition
example gtgraphtreemaplayoutexamples #squarifywithsevennodesseventhstep previewexpanded true nocode

these steps are repeated until all rectangles have been processed. the final result is the following
example gtgraphtreemaplayoutexamples #squarifywithsevennodes nocode codeexpanded false previewexpanded true .

an optimal result can not be guaranteed, and counterexamples can be set up. the order in which the rectangles are processed is important. we found that a decreasing order usually gives the best results. the initially large rectangle is then filled in first with the larger subrectangles.",,"i split an area into rectangles that are close to squares aspect ratio 1 as much as possible.
i use method gtgraphtreemapnode #weight node values to split an area into.
i use class gtgraphtreemapsquarifystep to split area into sub areas and measure class gtgraphtreemapnode positions and extends.","i use method gtgraphtreemapnode #weight node values to split an area into.
i use class gtgraphtreemapsquarifystep to split area into sub areas and measure class gtgraphtreemapnode positions and extends.",,,,"algorithm explanation

this is an adapted extract from the paper squarified treemaps mentioned above. suppose we have a rectangle with width example gtgraphtreemaplayoutexamples #squarifywithsevennodes label #width and height example gtgraphtreemaplayoutexamples #squarifywithsevennodes label #height , and furthermore suppose that this rectangle must be subdivided in seven rectangles with areas example gtgraphtreemaplayoutexamples #squarifywithsevennodes label #nodevalues . the area will be subdivided as follows
example gtgraphtreemaplayoutexamples #squarifywithsevennodes nocode codeexpanded false previewexpanded true previewshow #gtpreviewfor

the first step of our algorithm is to split the initial rectangle. we choose for a horizontal subdivision, because the original rectangle is wider than high. we next fill the left half. first we add a single rectangle. the aspect ratio of this first rectangle is example gtgraphtreemaplayoutexamples #squarifywithsevennodesfirststep label #worstvaluerounded .

example gtgraphtreemaplayoutexamples #squarifywithsevennodesfirststep previewexpanded true nocode

next we add a second rectangle, above the first. the worst aspect ratio improves to example gtgraphtreemaplayoutexamples #squarifywithsevennodessecondstep label #worstvaluerounded .
example gtgraphtreemaplayoutexamples #squarifywithsevennodessecondstep previewexpanded true nocode

however, if we add the next area 4 above these original rectangles, the aspect ratio of this rectangle is example gtgraphtreemaplayoutexamples #squarifywithsevennodesthirdstep label #worstvaluerounded .
example gtgraphtreemaplayoutexamples #squarifywithsevennodesthirdstep previewexpanded true nocode

therefore, we decide that we have reached an optimum for the left half in step two, and start processing the right half. the initial subdivision we choose here is vertical, because the rectangle is higher than wider. in step 4 we add the rectangle with area 4
example gtgraphtreemaplayoutexamples #squarifywithsevennodesfourthstep previewexpanded true nocode

in the next step, we add area 3. the worst aspect ratio decreases from example gtgraphtreemaplayoutexamples #squarifywithsevennodesfourthstep label #worstvaluerounded to example gtgraphtreemaplayoutexamples #squarifywithsevennodesfifthstep label #worstvaluerounded
example gtgraphtreemaplayoutexamples #squarifywithsevennodesfifthstep previewexpanded true nocode

addition of the next area 2 however does not improve the result as the worst aspect ratio increases from example gtgraphtreemaplayoutexamples #squarifywithsevennodesfifthstep label #worstvaluerounded to example gtgraphtreemaplayoutexamples #squarifywithsevennodessixthstep label #worstvaluerounded
example gtgraphtreemaplayoutexamples #squarifywithsevennodessixthstep previewexpanded true nocode

so we reject the previous step and start to fill the right top partition
example gtgraphtreemaplayoutexamples #squarifywithsevennodesseventhstep previewexpanded true nocode

these steps are repeated until all rectangles have been processed. the final result is the following
example gtgraphtreemaplayoutexamples #squarifywithsevennodes nocode codeexpanded false previewexpanded true ."
