stratum,class,comment,Summary,Usage,Parameters,Expand,DevelopmentNotes
3,ConnectToGuiOMatic,connect to a waiting gui o matic gui,connect to a waiting gui o matic gui,,,,
3,ContactSet,"set contact lines, ensuring contact exists","set contact lines, ensuring contact exists",,,,
3,EncryptedIntDict,"encrypteddict which only deals in signed 64 bit int values.
this also adds a working keys function.",encrypteddict which only deals in signed 64 bit int values.,,,this also adds a working keys function.,
3,EncryptedUnicodeDict,encrypteddict which only deals in unicode values.,encrypteddict which only deals in unicode values.,,,,
3,Event,"this is a single event in the event log. actual interpretation and
rendering of events should be handled by the respective source class.",this is a single event in the event log.,,,"actual interpretation and
rendering of events should be handled by the respective source class.",
3,Forward,create forwarding drafts of one or more messages,create forwarding drafts of one or more messages,,,,
3,Group_,view groups,view groups,,,,
3,HashCash,try to collide a hash using the smtorp algorithm,try to collide a hash using the smtorp algorithm,,,,
3,ListTags,list tags,list tags,,,,
3,MailpileJinjaLoader,"a jinja2 template loader which uses the mailpile configuration
and plugin system to find template files.","a jinja2 template loader which uses the mailpile configuration
and plugin system to find template files.",,,,
3,MailpileMailbox,a maildir class for windows using ! instead of in filenames,a maildir class for windows using ! instead of in filenames,,,,
3,MailpileVFS,"this is a router object that implements the vfs interface but,
delegating calls to individual implementations.","this is a router object that implements the vfs interface but,
delegating calls to individual implementations.",,,,
3,MoveFilter,move an auto tagging rule,move an auto tagging rule,,,,
3,OldPostingList,a posting list is a map of search terms to message ids.,a posting list is a map of search terms to message ids.,,,,
3,Rescan,add new messages to index,add new messages to index,,,,
3,StorageBackedLongs,"this combines storagebackeddata with pack unpacklonglist to pack
and save sets of ints.

storage sbl x01 x00 x00 x00 x00 x00 x00 x00
sbl storagebackedlongs storage, sbl
1 in sbl
true

sbl.append 2
sbl.save
unpacklonglist storage sbl 1, 2
true","this combines storagebackeddata with pack unpacklonglist to pack
and save sets of ints.","storage sbl x01 x00 x00 x00 x00 x00 x00 x00
sbl storagebackedlongs storage, sbl
1 in sbl
true

sbl.append 2
sbl.save
unpacklonglist storage sbl 1, 2
true",,,
3,Util,utility functions for builds,utility functions for builds,,,,
3,Vcard,display a single vcard,display a single vcard,,,,
3,VCardSet,"add a lines to a vcard, ensuring vcard exists","add a lines to a vcard, ensuring vcard exists",,,,
3,VCardStore,"this is a disk backed in memory collection of vcards.

vcs vcardstore cfg, tmp

# vcards are added to the collection using add vcard. this will
# create a file for the card on disk, using a random name.
vcs.add vcards mailpilevcard vcardline fn dude ,
vcardline email d@evil.com ,
mailpilevcard vcardline fn guy

vcards can be looked up directly by e mail.
vcs.get vcard d@evil.com .fn
u dude
vcs.get vcard nosuch@email.address is none
true

or they can be found using searches...
vcs.find vcards guy 0 .fn
u guy

cards can be removed using del vcards
vcs.del vcards vcs.get vcard d@evil.com
vcs.get vcard d@evil.com is none
true
vcs.del vcards vcs.find vcards guy
vcs.find vcards guy",this is a disk backed in memory collection of vcards.,"# vcards are added to the collection using add vcard. this will
# create a file for the card on disk, using a random name.
vcs.add vcards mailpilevcard vcardline fn dude ,
vcardline email d@evil.com ,
mailpilevcard vcardline fn guy

vcards can be looked up directly by e mail.
vcs.get vcard d@evil.com .fn
u dude
vcs.get vcard nosuch@email.address is none
true

or they can be found using searches...
vcs.find vcards guy 0 .fn
u guy

cards can be removed using del vcards
vcs.del vcards vcs.get vcard d@evil.com
vcs.get vcard d@evil.com is none
true
vcs.del vcards vcs.find vcards guy
vcs.find vcards guy",,,
4,_MergeOperation,"perform a database sql merge operation between two dataframe or series
objects using either columns as keys or their row indexes",,perform a database sql merge operation between two dataframe or series objects using either columns as keys or their row indexes,,,
4,AbstractEngine,object serving as a base class for all engines.,object serving as a base class for all engines.,,,,
4,AbstractHolidayCalendar,abstract interface to create holidays following certain rules.,abstract interface to create holidays following certain rules.,,,,
4,AccessorCallableDocumenter,"this documenter lets us removes . call from the method signature for
callable accessors like series.plot","this documenter lets us removes . call from the method signature for
callable accessors like series.plot",,,,
4,AccessorDocumenter,specialized documenter subclass for accessors.,specialized documenter subclass for accessors.,,,,
4,Base,"common tests for all variations of intervalindex construction. input data
to be supplied in breaks format, then converted by the subclass method
get kwargs from breaks to the expected format.",common tests for all variations of intervalindex construction.,,,"input data to be supplied in breaks format, then converted by the subclass method get kwargs from breaks to the expected format.","input data
to be supplied in breaks format, then converted by the subclass method
get kwargs from breaks to the expected format."
4,BaseInterfaceTests,"tests that the basic interface is satisfied.

interface","tests that the basic interface is satisfied.

interface",,,,
4,BooleanArray,"array of boolean true false data with missing values.

this is a pandas extension array for boolean data, under the hood
represented by 2 numpy arrays a boolean array with the data and
a boolean array with the mask true indicating missing .

booleanarray implements kleene logic sometimes called three value
logic for logical operations. see ref boolean.kleene for more.

to construct an booleanarray from generic array like input, use
func pandas.array specifying dtype boolean see examples
below .

versionadded 10.0

warning

booleanarray is considered experimental. the implementation and
parts of the api may change without warning.

parameters

values numpy.ndarray
a 1 d boolean dtype array with the data.
mask numpy.ndarray
a 1 d boolean dtype array indicating missing values true
indicates missing .
copy bool, default false
whether to copy the values and mask arrays.

attributes

none

methods

none

returns

booleanarray

examples

create an booleanarray with func pandas.array

pd.array true, false, none , dtype boolean
booleanarray
true, false, na
length 3, dtype boolean",array of boolean true false data with missing values.,"examples

create an booleanarray with func pandas.array

pd.array true, false, none , dtype boolean
booleanarray
true, false, na
length 3, dtype boolean","parameters

values numpy.ndarray
a 1 d boolean dtype array with the data.
mask numpy.ndarray
a 1 d boolean dtype array indicating missing values true
indicates missing .
copy bool, default false
whether to copy the values and mask arrays.","this is a pandas extension array for boolean data, under the hood
represented by 2 numpy arrays a boolean array with the data and
a boolean array with the mask true indicating missing .

booleanarray implements kleene logic sometimes called three value
logic for logical operations. see ref boolean.kleene for more.

to construct an booleanarray from generic array like input, use
func pandas.array specifying dtype boolean see examples
below .

attributes

none

methods

none

returns

booleanarray",
4,BusinessHour,dateoffset subclass representing possibly n business hours.,dateoffset subclass representing possibly n business hours.,,,,
4,BusinessMixin,mixin to business types to provide related functions.,mixin to business types to provide related functions.,,,,
4,BYearBegin,dateoffset increments between business year begin dates.,dateoffset increments between business year begin dates.,,,,
4,CategoricalDtype,"type for categorical data with the categories and orderedness.

versionchanged 021.0

parameters

categories sequence, optional
must be unique, and must not contain any nulls.
ordered bool or none, default false
whether or not this categorical is treated as a ordered categorical.
none can be used to maintain the ordered value of existing categoricals when
used in operations that combine categoricals, eg astype, and will resolve to
false if there is no existing ordered to maintain.

attributes

categories
ordered

methods

none

see also

categorical

notes

this class is useful for specifying the type of a categorical
independent of the values. see ref categorical.categoricaldtype
for more.

examples

t pd.categoricaldtype categories b , a , ordered true
pd.series a , b , a , c , dtype t
0 a
1 b
2 a
3 nan
dtype category
categories 2, object b a",type for categorical data with the categories and orderedness.,"examples

t pd.categoricaldtype categories b , a , ordered true
pd.series a , b , a , c , dtype t
0 a
1 b
2 a
3 nan
dtype category
categories 2, object b a","parameters

categories sequence, optional
must be unique, and must not contain any nulls.
ordered bool or none, default false
whether or not this categorical is treated as a ordered categorical.
none can be used to maintain the ordered value of existing categoricals when
used in operations that combine categoricals, eg astype, and will resolve to
false if there is no existing ordered to maintain.","attributes

categories
ordered
methods

none","notes

this class is useful for specifying the type of a categorical
independent of the values. see ref categorical.categoricaldtype
for more."
4,CategoricalIndex,"index based on an underlying class categorical .

categoricalindex, like categorical, can only take on a limited,
and usually fixed, number of possible values categories . also,
like categorical, it might have an order, but numerical operations
additions, divisions, ... are not possible.

parameters

data array like 1 dimensional
the values of the categorical. if categories are given, values not in
categories will be replaced with nan.
categories index like, optional
the categories for the categorical. items need to be unique.
if the categories are not given here and also not in dtype , they
will be inferred from the data .
ordered bool, optional
whether or not this categorical is treated as an ordered
categorical. if not given here or in dtype , the resulting
categorical will be unordered.
dtype categoricaldtype or category , optional
if class categoricaldtype , cannot be used together with
categories or ordered .

versionadded 021.0
copy bool, default false
make a copy of input ndarray.
name object, optional
name to be stored in the index.

attributes

codes
categories
ordered

methods

rename categories
reorder categories
add categories
remove categories
remove unused categories
set categories
as ordered
as unordered
map

raises

valueerror
if the categories do not validate.
typeerror
if an explicit ordered true is given but no categories and the
values are not sortable.

see also

index the base pandas index type.
categorical a categorical array.
categoricaldtype type for categorical data.

notes

see the user guide
http pandas.pydata.org pandas docs stable user guide advanced.html#categoricalindex
for more.

examples

pd.categoricalindex a , b , c , a , b , c
categoricalindex a , b , c , a , b , c , categories a , b , c , ordered false, dtype category # noqa

categoricalindex can also be instantiated from a categorical

c pd.categorical a , b , c , a , b , c
pd.categoricalindex c
categoricalindex a , b , c , a , b , c , categories a , b , c , ordered false, dtype category # noqa

ordered categoricalindex can have a min and max value.

ci pd.categoricalindex a , b , c , a , b , c , ordered true,
categories c , b , a
ci
categoricalindex a , b , c , a , b , c , categories c , b , a , ordered true, dtype category # noqa
ci.min
c",index based on an underlying class categorical .,"examples

pd.categoricalindex a , b , c , a , b , c
categoricalindex a , b , c , a , b , c , categories a , b , c , ordered false, dtype category # noqa

categoricalindex can also be instantiated from a categorical

c pd.categorical a , b , c , a , b , c
pd.categoricalindex c
categoricalindex a , b , c , a , b , c , categories a , b , c , ordered false, dtype category # noqa

ordered categoricalindex can have a min and max value.

ci pd.categoricalindex a , b , c , a , b , c , ordered true,
categories c , b , a
ci
categoricalindex a , b , c , a , b , c , categories c , b , a , ordered true, dtype category # noqa
ci.min
c","parameters

data array like 1 dimensional
the values of the categorical. if categories are given, values not in
categories will be replaced with nan.
categories index like, optional
the categories for the categorical. items need to be unique.
if the categories are not given here and also not in dtype , they
will be inferred from the data .
ordered bool, optional
whether or not this categorical is treated as an ordered
categorical. if not given here or in dtype , the resulting
categorical will be unordered.
dtype categoricaldtype or category , optional
if class categoricaldtype , cannot be used together with
categories or ordered .

versionadded 021.0
copy bool, default false
make a copy of input ndarray.
name object, optional
name to be stored in the index.","categoricalindex, like categorical, can only take on a limited,
and usually fixed, number of possible values categories . also,
like categorical, it might have an order, but numerical operations
additions, divisions, ... are not possible.

methods

rename categories
reorder categories
add categories
remove categories
remove unused categories
set categories
as ordered
as unordered
map
attributes

codes
categories
ordered","notes

see the user guide
http pandas.pydata.org pandas docs stable user guide advanced.html#categoricalindex
for more."
4,CheckingBuildExt,subclass build ext to get clearer report if cython is necessary.,,,,,
4,CythonCommand,"custom distutils command subclassed from cython.distutils.build ext
to compile pyx c, and stop there. all this does is override the
c compile method build extension with a no op.","custom distutils command subclassed from cython.distutils.build ext
to compile pyx c, and stop there.",,,,
4,DataIndexableCol,represent a data column that can be indexed,represent a data column that can be indexed,,,,
4,ExcelFile,"class for parsing tabular excel sheets into dataframe objects.
uses xlrd. see read excel for more documentation

parameters

io str, path object pathlib.path or py. path.local.localpath ,
a file like object, xlrd workbook or openpypl workbook.
if a string or path object, expected to be a path to xls, xlsx or odf file.
engine str, default none
if io is not a buffer or path, this must be set to identify io.
acceptable values are none, xlrd , openpyxl or odf .
note that odf reads tables out of opendocument formatted files.",class for parsing tabular excel sheets into dataframe objects.,,"parameters

io str, path object pathlib.path or py. path.local.localpath ,
a file like object, xlrd workbook or openpypl workbook.
if a string or path object, expected to be a path to xls, xlsx or odf file.
engine str, default none
if io is not a buffer or path, this must be set to identify io.
acceptable values are none, xlrd , openpyxl or odf .
note that odf reads tables out of opendocument formatted files.",,uses xlrd. see read excel for more documentation
4,Holiday,"class that defines a holiday with start end dates and rules
for observance.","class that defines a holiday with start end dates and rules
for observance.",,,,
4,IntegerArray,"array of integer optional missing values.

versionadded 024.0

warning

integerarray is currently experimental, and its api or internal
implementation may change without warning.

we represent an integerarray with 2 numpy arrays

data contains a numpy integer array of the appropriate dtype
mask a boolean array holding a mask on the data, true is missing

to construct an integerarray from generic array like input, use
func pandas.array with one of the integer dtypes see examples .

see ref integer na for more.

parameters

values numpy.ndarray
a 1 d integer dtype array.
mask numpy.ndarray
a 1 d boolean dtype array indicating missing values.
copy bool, default false
whether to copy the values and mask .

attributes

none

methods

none

returns

integerarray

examples

create an integerarray with func pandas.array .

int array pd.array 1, none, 3 , dtype pd.int32dtype
int array
integerarray
1, nan, 3
length 3, dtype int32

string aliases for the dtypes are also available. they are capitalized.

pd.array 1, none, 3 , dtype int32
integerarray
1, nan, 3
length 3, dtype int32

pd.array 1, none, 3 , dtype uint16
integerarray
1, nan, 3
length 3, dtype uint16",array of integer optional missing values.,"to construct an integerarray from generic array like input, use
func pandas.array with one of the integer dtypes see examples .
examples

create an integerarray with func pandas.array .

int array pd.array 1, none, 3 , dtype pd.int32dtype
int array
integerarray
1, nan, 3
length 3, dtype int32

string aliases for the dtypes are also available. they are capitalized.

pd.array 1, none, 3 , dtype int32
integerarray
1, nan, 3
length 3, dtype int32

pd.array 1, none, 3 , dtype uint16
integerarray
1, nan, 3
length 3, dtype uint16","parameters

values numpy.ndarray
a 1 d integer dtype array.
mask numpy.ndarray
a 1 d boolean dtype array indicating missing values.
copy bool, default false
whether to copy the values and mask .","attributes

none

methods

none

returns

integerarray
we represent an integerarray with 2 numpy arrays

data contains a numpy integer array of the appropriate dtype
mask a boolean array holding a mask on the data, true is missing

to construct an integerarray from generic array like input, use
func pandas.array with one of the integer dtypes see examples .","we represent an integerarray with 2 numpy arrays

data contains a numpy integer array of the appropriate dtype
mask a boolean array holding a mask on the data, true is missing

to construct an integerarray from generic array like input, use
func pandas.array with one of the integer dtypes see examples ."
4,IntervalDtype,"an extensiondtype for interval data.

this is not an actual numpy dtype , but a duck type.

parameters

subtype str, np.dtype
the dtype of the interval bounds.

attributes

subtype

methods

none

examples

pd.intervaldtype subtype int64
interval int64",an extensiondtype for interval data.,"examples

pd.intervaldtype subtype int64
interval int64","parameters

subtype str, np.dtype
the dtype of the interval bounds.","attributes

subtype
methods

none","this is not an actual numpy dtype , but a duck type."
4,NonConsolidatableMixIn,hold methods for the nonconsolidatable blocks,hold methods for the nonconsolidatable blocks,,,,
4,PlotAccessor,"make plots of series or dataframe.

uses the backend specified by the
option plotting.backend . by default, matplotlib is used.

parameters

data series or dataframe
the object for which the method is called.
x label or position, default none
only used if data is a dataframe.
y label, position or list of label, positions, default none
allows plotting of one column versus another. only used if data is a
dataframe.
kind str
the kind of plot to produce

line line plot default
bar vertical bar plot
barh horizontal bar plot
hist histogram
box boxplot
kde kernel density estimation plot
density same as kde
area area plot
pie pie plot
scatter scatter plot
hexbin hexbin plot.

figsize a tuple width, height in inches
use index bool, default true
use index as ticks for x axis.
title str or list
title to use for the plot. if a string is passed, print the string
at the top of the figure. if a list is passed and subplots is
true, print each item in the list above the corresponding subplot.
grid bool, default none matlab style default
axis grid lines.
legend bool or reverse
place legend on axis subplots.
style list or dict
the matplotlib line style per column.
logx bool or sym , default false
use log scaling or symlog scaling on x axis.
versionchanged 025.0

logy bool or sym default false
use log scaling or symlog scaling on y axis.
versionchanged 025.0

loglog bool or sym , default false
use log scaling or symlog scaling on both x and y axes.
versionchanged 025.0

xticks sequence
values to use for the xticks.
yticks sequence
values to use for the yticks.
xlim 2 tuple list
ylim 2 tuple list
rot int, default none
rotation for ticks xticks for vertical, yticks for horizontal
plots .
fontsize int, default none
font size for xticks and yticks.
colormap str or matplotlib colormap object, default none
colormap to select colors from. if string, load colormap with that
name from matplotlib.
colorbar bool, optional
if true, plot colorbar only relevant for scatter and hexbin
plots .
position float
specify relative alignments for bar plot layout.
from 0 left bottom end to 1 right top end . default is 05
center .
table bool, series or dataframe, default false
if true, draw a table using the data in the dataframe and the data
will be transposed to meet matplotlib s default layout.
if a series or dataframe is passed, use passed data to draw a
table.
yerr dataframe, series, array like, dict and str
see ref plotting with error bars visualization.errorbars for
detail.
xerr dataframe, series, array like, dict and str
equivalent to yerr.
mark right bool, default true
when using a secondary y axis, automatically mark the column
labels with right in the legend.
include bool bool, default is false
if true, boolean values can be plotted.
backend str, default none
backend to use instead of the backend specified in the option
plotting.backend . for instance, matplotlib . alternatively, to
specify the plotting.backend for the whole session, set
pd.options.plotting.backend .

versionadded 10.0

kwargs
options to pass to matplotlib plotting method.

returns

class matplotlib.axes.axes or numpy.ndarray of them
if the backend is not the default matplotlib one, the return value
will be the object returned by the backend.

notes

see matplotlib documentation online for more on this subject
if kind bar or barh , you can specify relative alignments
for bar plot layout by position keyword.
from 0 left bottom end to 1 right top end . default is 05
center",make plots of series or dataframe.,"uses the backend specified by the
option plotting.backend . by default, matplotlib is used.","parameters

data series or dataframe
the object for which the method is called.
x label or position, default none
only used if data is a dataframe.
y label, position or list of label, positions, default none
allows plotting of one column versus another. only used if data is a
dataframe.
kind str
the kind of plot to produce

line line plot default
bar vertical bar plot
barh horizontal bar plot
hist histogram
box boxplot
kde kernel density estimation plot
density same as kde
area area plot
pie pie plot
scatter scatter plot
hexbin hexbin plot.

figsize a tuple width, height in inches
use index bool, default true
use index as ticks for x axis.
title str or list
title to use for the plot. if a string is passed, print the string
at the top of the figure. if a list is passed and subplots is
true, print each item in the list above the corresponding subplot.
grid bool, default none matlab style default
axis grid lines.
legend bool or reverse
place legend on axis subplots.
style list or dict
the matplotlib line style per column.
logx bool or sym , default false
use log scaling or symlog scaling on x axis.
versionchanged 025.0

logy bool or sym default false
use log scaling or symlog scaling on y axis.
versionchanged 025.0

loglog bool or sym , default false
use log scaling or symlog scaling on both x and y axes.
versionchanged 025.0

xticks sequence
values to use for the xticks.
yticks sequence
values to use for the yticks.
xlim 2 tuple list
ylim 2 tuple list
rot int, default none
rotation for ticks xticks for vertical, yticks for horizontal
plots .
fontsize int, default none
font size for xticks and yticks.
colormap str or matplotlib colormap object, default none
colormap to select colors from. if string, load colormap with that
name from matplotlib.
colorbar bool, optional
if true, plot colorbar only relevant for scatter and hexbin
plots .
position float
specify relative alignments for bar plot layout.
from 0 left bottom end to 1 right top end . default is 05
center .
table bool, series or dataframe, default false
if true, draw a table using the data in the dataframe and the data
will be transposed to meet matplotlib s default layout.
if a series or dataframe is passed, use passed data to draw a
table.
yerr dataframe, series, array like, dict and str
see ref plotting with error bars visualization.errorbars for
detail.
xerr dataframe, series, array like, dict and str
equivalent to yerr.
mark right bool, default true
when using a secondary y axis, automatically mark the column
labels with right in the legend.
include bool bool, default is false
if true, boolean values can be plotted.
backend str, default none
backend to use instead of the backend specified in the option
plotting.backend . for instance, matplotlib . alternatively, to
specify the plotting.backend for the whole session, set
pd.options.plotting.backend .

versionadded 10.0

kwargs
options to pass to matplotlib plotting method.

returns

class matplotlib.axes.axes or numpy.ndarray of them
if the backend is not the default matplotlib one, the return value
will be the object returned by the backend.","if kind bar or barh , you can specify relative alignments
for bar plot layout by position keyword.
from 0 left bottom end to 1 right top end . default is 05
center","uses the backend specified by the
option plotting.backend . by default, matplotlib is used.

notes

see matplotlib documentation online for more on this subject
if kind bar or barh , you can specify relative alignments
for bar plot layout by position keyword.
from 0 left bottom end to 1 right top end . default is 05
center"
4,SelectNSeries,"implement n largest smallest for series

parameters

obj series
n int
keep first , last , default first

returns

nordered series",implement n largest smallest for series,,"parameters

obj series
n int
keep first , last , default first

returns

nordered series",,
4,SetopCheck,"this is called to decorate the set operations of intervalindex
to perform the type check in advance.","this is called to decorate the set operations of intervalindex
to perform the type check in advance.",,,,"this is called to decorate the set operations of intervalindex
to perform the type check in advance."
4,SQLiteTable,"patch the sqltable for fallback support.
instead of a table variable just use the create table statement.",patch the sqltable for fallback support.,,,,instead of a table variable just use the create table statement.
4,SQLTable,"for mapping pandas tables to sql tables.
uses fact that table is reflected by sqlalchemy to
do better type conversions.
also holds various flags needed to avoid having to
pass them between functions all the time.
todo support for multiindex",for mapping pandas tables to sql tables.,,,"uses fact that table is reflected by sqlalchemy to
do better type conversions.
also holds various flags needed to avoid having to
pass them between functions all the time.",
4,StringArray,"extension array for string data.

versionadded 10.0

warning

stringarray is considered experimental. the implementation and
parts of the api may change without warning.

in particular, the na value used may change to no longer be
numpy.nan .

parameters

values array like
the array of data.

warning

currently, this expects an object dtype ndarray
where the elements are python strings. this may
change without warning in the future.
copy bool, default false
whether to copy the array of data.

attributes

none

methods

none

see also

series.str
the string methods are available on series backed by
a stringarray.

notes

stringarray returns a booleanarray for comparison methods.

examples

pd.array this is , some text , none, data. , dtype string
stringarray
this is , some text , na, data.
length 4, dtype string

unlike object dtype arrays, stringarray doesn t allow non string
values.

pd.array 1 , 1 , dtype string
traceback most recent call last

valueerror stringarray requires an object dtype ndarray of strings.

for comparison methods, this returns a class pandas.booleanarray

pd.array a , none, c , dtype string a
booleanarray
true, na, false
length 3, dtype boolean",extension array for string data.,"examples

pd.array this is , some text , none, data. , dtype string
stringarray
this is , some text , na, data.
length 4, dtype string

unlike object dtype arrays, stringarray doesn t allow non string
values.

pd.array 1 , 1 , dtype string
traceback most recent call last

valueerror stringarray requires an object dtype ndarray of strings.

for comparison methods, this returns a class pandas.booleanarray

pd.array a , none, c , dtype string a
booleanarray
true, na, false","parameters

values array like
the array of data.

warning

currently, this expects an object dtype ndarray
where the elements are python strings. this may
change without warning in the future.
copy bool, default false
whether to copy the array of data.","attributes

none
for comparison methods, this returns a class pandas.booleanarray
methods

none","notes

stringarray returns a booleanarray for comparison methods."
4,StringMethods,"vectorized string functions for series and index. nas stay na unless
handled otherwise by a particular method. patterned after python s string
methods, with some inspiration from r s stringr package.

examples

s.str.split
s.str.replace ,",vectorized string functions for series and index.,"examples

s.str.split
s.str.replace ,",,,"nas stay na unless
handled otherwise by a particular method. patterned after python s string
methods, with some inspiration from r s stringr package."
4,TermValue,hold a term value the we use to construct a condition filter,hold a term value the we use to construct a condition filter,,,,
4,TestDatetimelikeSubtype,tests specific to intervalindex with datetime like subtype,tests specific to intervalindex with datetime like subtype,,,,
4,TestFromArrays,tests specific to intervalindex.from arrays,tests specific to intervalindex.from arrays,,,,
4,TestFromTuples,tests specific to intervalindex.from tuples,tests specific to intervalindex.from tuples,,,,
4,TestPeriodIndexSeriesComparisonConsistency,"test periodindex and period series ops consistency
todo needs parametrization de duplication",test periodindex and period series ops consistency,,,,
4,TestSorted,everything you wanted to test about sorting,everything you wanted to test about sorting,,,,
4,UnsortedIndexError,"error raised when attempting to get a slice of a multiindex,
and the index has not been lexsorted. subclass of keyerror .","error raised when attempting to get a slice of a multiindex,
and the index has not been lexsorted.",,,subclass of keyerror .,
5,_BZ2Proxy,"small proxy class that enables external file object
support for r bz2 and w bz2 modes. this is actually
a workaround for a limitation in bz2 module s bz2file
class which unlike gzip.gzipfile has no support for
a file object argument.","small proxy class that enables external file object
support for r bz2 and w bz2 modes.",,,,"this is actually
a workaround for a limitation in bz2 module s bz2file
class which unlike gzip.gzipfile has no support for
a file object argument."
5,_FileInFile,"a thin wrapper around an existing file object that
provides a part of its data as an individual file
object.","a thin wrapper around an existing file object that
provides a part of its data as an individual file
object.",,,,
5,_MovedItems,lazy loading of moved objects,lazy loading of moved objects,,,,
5,_PathParents,"this object provides sequence like access to the logical ancestors
of a path. don t try to construct it yourself.","this object provides sequence like access to the logical ancestors
of a path.",,,,
5,And,"requires all given class parseexpression s to be found in the given order.
expressions may be separated by whitespace.
may be constructed using the operator.
may also be constructed using the operator, which will
suppress backtracking.

example

integer word nums
name expr oneormore word alphas

expr and integer id ,name expr name ,integer age
# more easily written as
expr integer id name expr name integer age",,"example

integer word nums
name expr oneormore word alphas

expr and integer id ,name expr name ,integer age
# more easily written as
expr integer id name expr name integer age",,"expressions may be separated by whitespace.
may be constructed using the operator.
may also be constructed using the operator, which will
suppress backtracking.","requires all given class parseexpression s to be found in the given order.
expressions may be separated by whitespace.
may be constructed using the operator.
may also be constructed using the operator, which will
suppress backtracking."
5,Argument,"arguments are positional parameters to a command. they generally
provide fewer features than options but can have infinite nargs
and are required by default.

all parameters are passed onwards to the parameter constructor.",arguments are positional parameters to a command.,"they generally
provide fewer features than options but can have infinite nargs
and are required by default.",,all parameters are passed onwards to the parameter constructor,
5,BaseCommand_,a cli command.,a cli command.,,,,
5,BrokenStdoutLoggingError,raised if brokenpipeerror occurs for the stdout stream while logging.,raised if brokenpipeerror occurs for the stdout stream while logging.,,,,
5,Bucket,"buckets are used to store the bytecode for one template. it s created
and initialized by the bytecode cache and passed to the loading functions.

the buckets get an internal checksum from the cache assigned and use this
to automatically reject outdated cache material. individual bytecode
cache subclasses don t have to care about cache invalidation.","buckets are used to store the bytecode for one template. it s created
and initialized by the bytecode cache and passed to the loading functions.",,,"the buckets get an internal checksum from the cache assigned and use this
to automatically reject outdated cache material.",
5,CallBlock,"like a macro without a name but a call instead. call is called with
the unnamed macro as caller argument this node holds.",,,"call is called with
the unnamed macro as caller argument this node holds.",,like a macro without a name but a call instead.
5,CaseInsensitiveDict,"a case insensitive dict like object.

implements all methods and operations of
mutablemapping as well as dict s copy . also
provides lower items .

all keys are expected to be strings. the structure remembers the
case of the last key to be set, and iter instance ,
keys , items , iterkeys , and iteritems
will contain case sensitive keys. however, querying and contains
testing is case insensitive

cid caseinsensitivedict
cid accept application json
cid accept application json # true
list cid accept # true

for example, headers content encoding will return the
value of a content encoding response header, regardless
of how the header name was originally stored.

if the constructor, .update , or equality comparison
operations are given keys that have equal .lower s, the
behavior is undefined.","a case insensitive dict like object.

implements all methods and operations of
mutablemapping as well as dict s copy . also
provides lower items .","however, querying and contains
testing is case insensitive

cid caseinsensitivedict
cid accept application json
cid accept application json # true
list cid accept # true

for example, headers content encoding will return the
value of a content encoding response header, regardless
of how the header name was originally stored.

if the constructor, .update , or equality comparison
operations are given keys that have equal .lower s, the
behavior is undefined.",,"all keys are expected to be strings. the structure remembers the
case of the last key to be set, and iter instance ,
keys , items , iterkeys , and iteritems
will contain case sensitive keys.","all keys are expected to be strings.

the structure remembers the
case of the last key to be set, and iter instance ,
keys , items , iterkeys , and iteritems
will contain case sensitive keys."
5,ColoredString,enhanced string for len operations on colored output.,enhanced string for len operations on colored output.,,,,
5,CommandError,raised when there is an error in command line arguments,raised when there is an error in command line arguments,,,,
5,ConnectionError,a connection error occurred.,a connection error occurred.,,,,
5,CONSOLE_SCREEN_BUFFER_INFO,struct in wincon.h.,struct in wincon.h.,,,,
5,Context_,"the template context holds the variables of a template. it stores the
values passed to the template and also the names the template exports.
creating instances is neither supported nor useful as it s created
automatically at various stages of the template evaluation and should not
be created by hand.

the context is immutable. modifications on attr parent must not
happen and modifications on attr vars are allowed from generated
template code only. template filters and global functions marked as
func contextfunction s get the active context passed as first argument
and are allowed to access the context read only.

the template context supports read only dict operations get ,
keys , values , items , iterkeys , itervalues , iteritems ,
getitem , contains . additionally there is a meth resolve
method that doesn t fail with a keyerror but returns an
class undefined object for missing variables.",the template context holds the variables of a template.,"it stores the values passed to the template and also the names the template exports.

modifications on attr parent must not
happen and modifications on attr vars are allowed from generated
template code only. template filters and global functions marked as
func contextfunction s get the active context passed as first argument
and are allowed to access the context read only.","modifications on attr parent must not
happen and modifications on attr vars are allowed from generated
template code only. template filters and global functions marked as
func contextfunction s get the active context passed as first argument
and are allowed to access the context read only.

the template context supports read only dict operations get ,
keys , values , items , iterkeys , itervalues , iteritems ,
getitem , contains .

additionally there is a meth resolve
method that doesn t fail with a keyerror but returns an
class undefined object for missing variables.",,"creating instances is neither supported nor useful as it s created
automatically at various stages of the template evaluation and should not
be created by hand.

the context is immutable."
5,ConvertingTuple,a converting tuple wrapper.,a converting tuple wrapper.,,,,
5,CookieConflictError,"there are two cookies that meet the criteria specified in the cookie jar.
use .get and .set and include domain and path args in order to be more specific.",there are two cookies that meet the criteria specified in the cookie jar.,,,,use .get and .set and include domain and path args in order to be more specific.
5,DataViewSequence,"a sequence of data views.

each entry is an instance of item class .",a sequence of data views.,,each entry is an instance of item class .,,
5,Date,a date literal.,a date literal.,,,,
5,DependencyWarning,"warned when an attempt is made to import a module with missing optional
dependencies.",warned when an attempt is made to import a module with missing optional dependencies.,,,,
