stratum,class,comment,summary,Expand,rational,deprecation,usage,Ownership,Pointer
1,TestRollingFileSystemSinkWithLocal.java,"test the @link rollingfilesystemsink class in the context of the local file
system.",test the @link rollingfilesystemsink class in the context of the local file system.,,,,,,test the @link rollingfilesystemsink class in the context of the local file system.
1,TestRouterWebServiceUtil.java,test class to validate routerwebserviceutil methods.,test class to validate routerwebserviceutil methods.,,,,,,
1,TestS3BucketManager.java,tests for s3 bucket manager.,tests for s3 bucket manager.,,,,,,tests for s3 bucket manager.
1,TestSaveNamespace.java,"test various failure scenarios during savenamespace operation.
cases covered
ol
li recover from failure while saving into the second storage directory li
li recover from failure while moving current into lastcheckpoint.tmp li
li recover from failure while moving lastcheckpoint.tmp into
previous.checkpoint li
li recover from failure while rolling edits file li
ol",test various failure scenarios during savenamespace operation.,"cases covered
ol
li recover from failure while saving into the second storage directory li
li recover from failure while moving current into lastcheckpoint.tmp li
li recover from failure while moving lastcheckpoint.tmp into
previous.checkpoint li
li recover from failure while rolling edits file li
ol",,,,,
1,TestSCMDatanodeHeartbeatDispatcher.java,this class tests the behavior of scmdatanodeheartbeatdispatcher.,this class tests the behavior of scmdatanodeheartbeatdispatcher.,,,,,,
1,TestSequenceFile.java,support for flat files of binary key value pairs.,support for flat files of binary key value pairs,support for flat files of binary key value pairs,,,,,
1,TestSeveralNameNodes.java,test that we can start several and run with namenodes on the same minicluster,test that we can start several and run with namenodes on the same minicluster,we can start several and run with namenodes on the same minicluster,,,,,
1,TestSwiftFileSystemContract.java,"this is the full filesystem contract test which requires the
default config set up to point to a filesystem.

some of the tests override the base class tests these
are where swiftfs does not implement those features, or
when the behavior of swiftfs does not match the normal
contract which normally means that directories and equal files
are being treated as equal.","this is the full filesystem contract test which requires the
default config set up to point to a filesystem.",,"some of the tests override the base class tests these
are where swiftfs does not implement those features, or
when the behavior of swiftfs does not match the normal
contract which normally means that directories and equal files
are being treated as equal.",,,,
1,TestTaskCommit.java,"special committer that does not cleanup temporary files in
aborttask
the framework s fileoutputcommitter cleans up any temporary
files left behind in aborttask. we want the test case to
find these files and hence short circuit aborttask.

special committer that always requires commit.","special committer that does not cleanup temporary files in
aborttask",,"the framework s fileoutputcommitter cleans up any temporary
files left behind in aborttask. we want the test case to
find these files and hence short circuit aborttask.",,special committer that always requires commit.,,
1,TestTaskContext.java,tests context api and @link statusreporter#getprogress via @link taskattemptcontext#getprogress api .,tests context api and @link statusreporter#getprogress via @link taskattemptcontext#getprogress api .,,,,,,tests context api and @link statusreporter#getprogress via @link taskattemptcontext#getprogress api .
1,TestTopCLI.java,test class for topcli.,test class for topcli.,,,,,,
1,TestUpgradeDomainBlockPlacementPolicy.java,"end to end test case for upgrade domain
the test configs upgrade domain for nodes via admin json
config file and put some nodes to decommission state.
the test then verifies replicas are placed on the nodes that
satisfy the upgrade domain policy.",end to end test case for upgrade domain,"the test configs upgrade domain for nodes via admin json
config file and put some nodes to decommission state.
the test then verifies replicas are placed on the nodes that
satisfy the upgrade domain policy.",,,,,
1,TextInputFormat.java,"an @link inputformat for plain text files. files are broken into lines.
either linefeed or carriage return are used to signal end of line. keys are
the position in the file, and values are the line of text..",an @link inputformat for plain text files. files are broken into lines.,"either linefeed or carriage return are used to signal end of line. keys are the position in the file, and values are the line of text..",,,,,an @link inputformat for plain text files. files are broken into lines.
1,TimelineDataToRetrieve.java,"encapsulates information regarding which data to retrieve for each entity
while querying. br
data to retrieve contains the following br
ul
li b confstoretrieve b used for deciding which configs to return
in response. this is represented as a @link timelinefilterlist object
containing @link timelineprefixfilter objects. these can either be
exact config keys or prefixes which are then compared against config
keys to decide configs inside entities to return in response. if null
or empty, all configurations will be fetched if fieldstoretrieve
contains @link field#configs or @link field#all . this should not be
confused with configfilters which is used to decide which entities to
return instead. li
li b metricstoretrieve b used for deciding which metrics to return
in response. this is represented as a @link timelinefilterlist object
containing @link timelineprefixfilter objects. these can either be
exact metric ids or prefixes which are then compared against metric
ids to decide metrics inside entities to return in response. if null
or empty, all metrics will be fetched if fieldstoretrieve contains
@link field#metrics or @link field#all . this should not be confused
with metricfilters which is used to decide which entities to return
instead. li
li b fieldstoretrieve b specifies which fields of the entity
object to retrieve, see @link field . if null, retrieves 3 fields,
namely entity id, entity type and entity created time. all fields will
be returned if @link field#all is specified. li
li b metricslimit b if fieldstoretrieve contains metrics all or
metricstoretrieve is specified, this limit defines an upper limit to the
number of metrics to return. this parameter is ignored if metrics are not to
be fetched. li
li b metricstimestart b metric values before this timestamp would not
be retrieved. if null or @literal 0 , defaults to 0. li
li b metricstimeend b metric values after this timestamp would not
be retrieved. if null or @literal 0 , defaults to @link long#max value .
li
ul","encapsulates information regarding which data to retrieve for each entity
while querying. br","data to retrieve contains the following br
ul
li b confstoretrieve b used for deciding which configs to return
in response. this is represented as a @link timelinefilterlist object
containing @link timelineprefixfilter objects. these can either be
exact config keys or prefixes which are then compared against config
keys to decide configs inside entities to return in response. if null
or empty, all configurations will be fetched if fieldstoretrieve
contains @link field#configs or @link field#all . this should not be
confused with configfilters which is used to decide which entities to
return instead. li
li b metricstoretrieve b used for deciding which metrics to return
in response. this is represented as a @link timelinefilterlist object
containing @link timelineprefixfilter objects. these can either be
exact metric ids or prefixes which are then compared against metric
ids to decide metrics inside entities to return in response. if null
or empty, all metrics will be fetched if fieldstoretrieve contains
@link field#metrics or @link field#all . this should not be confused
with metricfilters which is used to decide which entities to return
instead. li
li b fieldstoretrieve b specifies which fields of the entity
object to retrieve, see @link field . if null, retrieves 3 fields,
namely entity id, entity type and entity created time. all fields will
be returned if @link field#all is specified. li
li b metricslimit b if fieldstoretrieve contains metrics all or
metricstoretrieve is specified, this limit defines an upper limit to the
number of metrics to return. this parameter is ignored if metrics are not to
be fetched. li
li b metricstimestart b metric values before this timestamp would not
be retrieved. if null or @literal 0 , defaults to 0. li
li b metricstimeend b metric values after this timestamp would not
be retrieved. if null or @literal 0 , defaults to @link long#max value .
li
ul",,,,,"data to retrieve contains the following br
ul
li b confstoretrieve b used for deciding which configs to return
in response. this is represented as a @link timelinefilterlist object
containing @link timelineprefixfilter objects. these can either be
exact config keys or prefixes which are then compared against config
keys to decide configs inside entities to return in response. if null
or empty, all configurations will be fetched if fieldstoretrieve
contains @link field#configs or @link field#all . this should not be
confused with configfilters which is used to decide which entities to
return instead. li
li b metricstoretrieve b used for deciding which metrics to return
in response. this is represented as a @link timelinefilterlist object
containing @link timelineprefixfilter objects. these can either be
exact metric ids or prefixes which are then compared against metric
ids to decide metrics inside entities to return in response. if null
or empty, all metrics will be fetched if fieldstoretrieve contains
@link field#metrics or @link field#all . this should not be confused
with metricfilters which is used to decide which entities to return
instead. li
li b fieldstoretrieve b specifies which fields of the entity
object to retrieve, see @link field . if null, retrieves 3 fields,
namely entity id, entity type and entity created time. all fields will
be returned if @link field#all is specified. li
li b metricslimit b if fieldstoretrieve contains metrics all or
metricstoretrieve is specified, this limit defines an upper limit to the
number of metrics to return. this parameter is ignored if metrics are not to
be fetched. li
li b metricstimestart b metric values before this timestamp would not
be retrieved. if null or @literal 0 , defaults to 0. li
li b metricstimeend b metric values after this timestamp would not
be retrieved. if null or @literal 0 , defaults to @link long#max value .
li
ul"
1,TimelineStorageMonitor.java,"this abstract class is for monitoring health of timeline storage.
different storages supported by atsv2.",this abstract class is for monitoring health of timeline storage,,for monitoring health of timeline storage,,,,
1,TonyRuntimeFactory.java,implementation of runtimefactory with tony runtime,implementation of runtimefactory with tony runtime,,,,,,implementation of runtimefactory with tony runtime
1,TypedEvent.java,"basic event implementation to implement custom events.

@param t",basic event implementation,,to implement custom events.,,@param t,,
1,UniformSizeInputFormat.java,"uniformsizeinputformat extends the inputformat class, to produce
input splits for distcp.
it looks at the copy listing and groups the contents into input splits such
that the total number of bytes to be copied for each input split is
uniform.","uniformsizeinputformat extends the inputformat class, to produce
input splits for distcp.","it looks at the copy listing and groups the contents into input splits such
that the total number of bytes to be copied for each input split is
uniform.",,,,,
1,Utils.java,"a utility class. it provides
a path filter utility to filter out output part files in the output dir

this class filters output part files from the given directory
it does not accept files with filenames logs and success.
this can be used to list paths of output directory as follows
path filelist fileutil.stat2paths fs.liststatus outdir,
new outputfilesfilter

this class filters log files from directory given
it doesnt accept paths having logs.
this can be used to list paths of output directory as follows
path filelist fileutil.stat2paths fs.liststatus outdir,
new outputlogfilter","a utility class. it provides
a path filter utility to filter out output part files in the output dir","this class filters output part files from the given directory
it does not accept files with filenames logs and success.

this class filters log files from directory given
it doesnt accept paths having logs.",,,"this class filters output part files from the given directory
it does not accept files with filenames logs and success.
this can be used to list paths of output directory as follows
path filelist fileutil.stat2paths fs.liststatus outdir,
new outputfilesfilter

this class filters log files from directory given
it doesnt accept paths having logs.
this can be used to list paths of output directory as follows
path filelist fileutil.stat2paths fs.liststatus outdir,
new outputlogfilter",,
1,VolumeSet.java,volumeset to manage hdds volumes in a datanode.,volumeset to manage hdds volumes in a datanode.,,,,,,volumeset to manage hdds volumes in a datanode.
1,WritableComparator.java,"a comparator for @link writablecomparable s.

p this base implementation uses the natural ordering. to define alternate
orderings, override @link #compare writablecomparable,writablecomparable .

p one may optimize compare intensive operations by overriding
@link #compare byte ,int,int,byte ,int,int . static utility methods are
provided to assist in optimized implementations of this method.",a comparator for @link writablecomparable s.,"p this base implementation uses the natural ordering. to define alternate
orderings, override @link #compare writablecomparable,writablecomparable .",,,"p this base implementation uses the natural ordering. to define alternate
orderings, override @link #compare writablecomparable,writablecomparable .

p one may optimize compare intensive operations by overriding
@link #compare byte ,int,int,byte ,int,int . static utility methods are
provided to assist in optimized implementations of this method.",,"a comparator for @link writablecomparable s.

p this base implementation uses the natural ordering. to define alternate
orderings, override @link #compare writablecomparable,writablecomparable .

p one may optimize compare intensive operations by overriding
@link #compare byte ,int,int,byte ,int,int . static utility methods are
provided to assist in optimized implementations of this method."
1,YarnAuthorizationProvider.java,"an implementation of the interface will provide authorization related
information and enforce permission check. it is excepted that any of the
methods defined in this interface should be non blocking call and should not
involve expensive computation as these method could be invoked in rpc.","an implementation of the interface will provide authorization related
information and enforce permission check.","it is excepted that any of the
methods defined in this interface should be non blocking call and should not
involve expensive computation as these method could be invoked in rpc.","it is excepted that any of the
methods defined in this interface should be non blocking call and should not
involve expensive computation as these method could be invoked in rpc.",,,,
1,YarnServiceJobSubmitter.java,submit a job to cluster.,submit a job to cluster.,,,,,,
2,ChunkFetchSuccess.java,"response to @link chunkfetchrequest when a chunk exists and has been successfully fetched.

note that the server side encoding of this messages does not include the buffer itself, as this
may be written by netty in a more efficient manner ie, zero copy write .
similarly, the client side decoding will reuse the netty bytebuf as the buffer.",response to @link chunkfetchrequest when a chunk exists and has been successfully fetched.,"similarly, the client side decoding will reuse the netty bytebuf as the buffer.",,,,,
2,ExecutorPlugin.java,"a plugin which can be automatically instantiated within each spark executor. users can specify
plugins which should be created with the spark.executor.plugins configuration. an instance
of each plugin will be created for every executor, including those created by dynamic allocation,
before the executor starts running any tasks.

the specific api exposed to the end users still considered to be very unstable. we will
hopefully be able to keep compatibility by providing default implementations for any methods
added, but make no guarantees this will always be possible across all spark releases.

spark does nothing to verify the plugin is doing legitimate things, or to manage the resources
it uses. a plugin acquires the same privileges as the user running the task. a bad plugin
could also interfere with task execution and make the executor fail in unexpected ways.",a plugin which can be automatically instantiated within each spark executor.,"users can specify plugins which should be created with the spark.executor.plugins configuration. an instance of each plugin will be created for every executor, including those created by dynamic allocation, before the executor starts running any tasks.",,,,,
2,FlatMapFunction.java,a function that returns zero or more output records from each input record.,a function that returns zero or more output records from each input record.,,,,,,
2,JavaRecord.java,java bean class to be used with the example javasqlnetworkwordcount.,,,,,java bean class to be used with the example javasqlnetworkwordcount.,,
2,JavaStreamingTestExample.java,"perform streaming testing using welch s 2 sample t test on a stream of data, where the data
stream arrives as text files in a directory. stops when the two groups are statistically
significant p value 005 or after a user specified timeout in number of batches is exceeded.

the rows of the text files must be in the form boolean, double . for example
false, 392
true, 9932

usage
javastreamingtestexample datadir batchduration numbatchestimeout

to run on your local machine using the directory datadir with 5 seconds between each batch and
a timeout after 100 insignificant batches, call
bin run example mllib.javastreamingtestexample datadir 5 100

as you add text files to datadir the significance test wil continually update every
batchduration seconds until the test becomes significant p value 005 or the number of
batches processed exceeds numbatchestimeout .","perform streaming testing using welch s 2 sample t test on a stream of data, where the data
stream arrives as text files in a directory. stops when the two groups are statistically
significant p value 005 or after a user specified timeout in number of batches is exceeded.","the rows of the text files must be in the form boolean, double . for example
false, 392
true, 9932",,,"usage
javastreamingtestexample datadir batchduration numbatchestimeout

to run on your local machine using the directory datadir with 5 seconds between each batch and
a timeout after 100 insignificant batches, call
bin run example mllib.javastreamingtestexample datadir 5 100

as you add text files to datadir the significance test wil continually update every
batchduration seconds until the test becomes significant p value 005 or the number of
batches processed exceeds numbatchestimeout .",,
2,KVStore.java,"abstraction for a local key value store for storing app data.

p
there are two main features provided by the implementations of this interface
p

h3 serialization h3

p
if the underlying data store requires serialization, data will be serialized to and deserialized
using a @link kvstoreserializer , which can be customized by the application. the serializer is
based on jackson, so it supports all the jackson annotations for controlling the serialization of
app defined types.
p

p
data is also automatically compressed to save disk space.
p

h3 automatic key management h3

p
when using the built in key management, the implementation will automatically create unique
keys for each type written to the store. keys are based on the type name, and always start
with the prefix character so that it s easy to use both manual and automatic key
management apis without conflicts .
p

p
another feature of automatic key management is indexing by annotating fields or methods of
objects written to the store with @link kvindex , indices are created to sort the data
by the values of those properties. this makes it possible to provide sorting without having
to load all instances of those types from the store.
p

p
kvstore instances are thread safe for both reads and writes.
p",abstraction for a local key value store for storing app data.,"p
there are two main features provided by the implementations of this interface
p

h3 serialization h3

p
if the underlying data store requires serialization, data will be serialized to and deserialized
using a @link kvstoreserializer , which can be customized by the application. the serializer is
based on jackson, so it supports all the jackson annotations for controlling the serialization of
app defined types.
p

p
data is also automatically compressed to save disk space.
p

h3 automatic key management h3

p
when using the built in key management, the implementation will automatically create unique
keys for each type written to the store. keys are based on the type name, and always start
with the prefix character so that it s easy to use both manual and automatic key
management apis without conflicts .
p

p
another feature of automatic key management is indexing by annotating fields or methods of
objects written to the store with @link kvindex , indices are created to sort the data
by the values of those properties. this makes it possible to provide sorting without having
to load all instances of those types from the store.
p

p
kvstore instances are thread safe for both reads and writes.
p",,,,,"@link kvstoreserializer
@link kvindex"
2,LevelDB.java,"implementation of kvstore that uses leveldb as the underlying data store.
needs to be public for jackson.",implementation of kvstore that uses leveldb as the underlying data store.,,,,,,
2,LocalDiskShuffleDataIO.java,"implementation of the @link shuffledataio plugin system that replicates the local shuffle
storage and index file functionality that has historically been used from spark 24 and earlier.","implementation of the @link shuffledataio plugin system that replicates the local shuffle
storage and index file functionality that has historically been used from spark 24 and earlier.",,,,,,@link shuffledataio
2,MessageWithHeader.java,"a wrapper message that holds two separate pieces a header and a body .

the header must be a bytebuf, while the body can be a bytebuf or a fileregion.",a wrapper message that holds two separate pieces a header and a body .,,,,,,
2,RemoveBlocks.java,request to remove a set of blocks.,request to remove a set of blocks.,,,,,,
2,StreamHandle.java,"identifier for a fixed number of chunks to read from a stream created by an open blocks
message. this is used by @link org.apache.spark.network.shuffle.oneforoneblockfetcher .","identifier for a fixed number of chunks to read from a stream created by an open blocks
message",,,,,,this is used by @link org.apache.spark.network.shuffle.oneforoneblockfetcher .
2,TBoolColumn.java,"the set of fields this struct contains, along with convenience methods for finding and manipulating them.","the set of fields this struct contains, along with convenience methods for finding and manipulating them.",,,,,,
2,UploadBlockStream.java,"a request to upload a block, which the destination should receive as a stream.

the actual block data is not contained here. it will be passed to the streamcallbackwithid
that is returned from rpchandler.receivestream","a request to upload a block, which the destination should receive as a stream.","the actual block data is not contained here. it will be passed to the streamcallbackwithid
that is returned from rpchandler.receivestream",,,,,
3,AbstractCPropertyTab.java,"it is a parent for all standard property tabs
in new cdt model.

although it s enough for new tabs to implement
icpropertytab interface only, it would be better
to extend them from this class.

in this case, we ll able to use
a lot of utility methods via provider link.
in particular, it allows to get current project,
configuration etc see icpropertyprovider interface.
a standard way to create buttons ins edit del etc
and to handle their events see buttonpressed int
several utility methods to create widgets in the
uniform manner setuplabel , setuptext etc .
means to handle control messages which are the main
communication way for new cdt model pages and tabs.",it is a parent for all standard property tabs in new cdt model.,,"in this case, we ll able to use
a lot of utility methods via provider link.
in particular, it allows to get current project,
configuration etc see icpropertyprovider interface.
a standard way to create buttons ins edit del etc
and to handle their events see buttonpressed int
several utility methods to create widgets in the
uniform manner setuplabel , setuptext etc .
means to handle control messages which are the main
communication way for new cdt model pages and tabs.",,"although it s enough for new tabs to implement icpropertytab interface only, it would be better to extend them from this class.",,
3,AbstractTrialUndoActionProvider.java,"base class for parser action classes which support trial, undo and
final actions.

action for a null rule","base class for parser action classes which support trial, undo and final actions.",action for a null rule,,,,,
3,AddBreakpointRulerAction.java,ruler action to add breakpoint with a dialog properties.,ruler action to add breakpoint with a dialog properties.,,,,,,
3,AddLineBreakpointActionDelegate.java,"a delegate for the add line breakpoint action.
p
initially derived from addfunctionbreakpointactiondelegate",a delegate for the add line breakpoint action.,initially derived from addfunctionbreakpointactiondelegate,,,,,
3,AddMemoryBlocks.java,"adds memory blocks to the memory view.

p
cdt adapter logic will link us to a cmemoryblockretrievalextension
if and only if the cdi backend support memory spaces. when this is the case,
the platform will call us to add a memory monitor to the memory view. we
must put up a dialog, handle the user input, create the memory blocks
with default renderings and add them to the view.

p
@since 32

in order to avoid duplicating the addmemoryblocks method one version for expressions, one for memory space address, we pass in a an opaque parameter and let the logic within addmemoryblocks differentiate where needed via isinstanceof request object used to get the memory spaces",adds memory blocks to the memory view.,"p cdt adapter logic will link us to a cmemoryblockretrievalextension if and only if the cdi backend support memory spaces. when this is the case, the platform will call us to add a memory monitor to the memory view. we must put up a dialog, handle the user input, create the memory blocks with default renderings and add them to the view. p",,@since 32,"in order to avoid duplicating the addmemoryblocks method one version for expressions, one for memory space address, we pass in a an opaque parameter and let the logic within addmemoryblocks differentiate where needed via isinstanceof request object used to get the memory spaces",,
3,AllTemplateEngineTests.java,"this is a testsuite, the testcases created to test template engine are
added to testsuite.
the test suite will execute all the testcases added to the suite.

@since 40","this is a testsuite, the testcases created to test template engine are added to testsuite.",the test suite will execute all the testcases added to the suite.,,@since 40,,,
3,AutoconfMacroParameterListValidator.java,"this class provides the macro call parameter parsing for the autoconf editor hover
it is modified from the cdt class cparameterlistvalidator

@author jjohnstn",this class provides the macro call parameter parsing for the autoconf editor hover,it is modified from the cdt class cparameterlistvalidator,,,,@author jjohnstn,
3,AutotoolsProblemMarkerInfo.java,@noextend this class is not intended to be subclassed by clients.,,,,,@noextend this class is not intended to be subclassed by clients,,
3,BindingClassifierTest.java,tests for @link bindingclassifier .,tests for @link bindingclassifier .,,,,,,@link bindingclassifier
3,C99BuildASTParserAction.java,"semantic actions called by the c99 parser to build an ast.

@author mike kucera",semantic actions called by the c99 parser to build an ast.,,,,,@author mike kucera,
3,CConfigurationDescriptionCache.java,"cconfigurationdescriptioncache is a proxy class for serialization of configuration description data.

an inspection of the scenario where user changes project properties and saves it yields
following sequence of events
ol
li initialization
ul
li after eclipse started a project is being opened. a new cconfigurationdescriptioncache is created
with cconfigurationdescriptioncache icstorageelement storage, cprojectdescription parent constructor.
li any clients needed icconfigurationdescription get cconfigurationdescription using constructor
cconfigurationdescription cconfigurationdata data, string buildsystemid, icdataproxycontainer cr
where the cconfigurationdescriptioncache is passed as data. the reference to cache is kept in field fcfgcache.
li fcfgcache is used to getspecsettings cconfigurationspecsettings, after that fcfgcache is set to null.
ul
li user enters project properties settings
ul
li another cconfigurationdescription settings configuration created using the same constructor setting fcfgcache
to the cconfigurationdescriptioncache.
ul
li user changes settings in the settings configuration cconfigurationdescription and saves it
ul
li new cconfigurationdescriptioncache is created from the cconfigurationdescription via constructor
cconfigurationdescriptioncache icconfigurationdescription basedescription, ... where
basedescription is saved as fbasedescription.
li cconfigurationdescriptioncache.applydata ... is used to persist the data. at that point
reference fbasedescription gets set to null.
ul
ol

@see icconfigurationdescription
@see cconfigurationdescription
@see cprojectdescriptionevent",cconfigurationdescriptioncache is a proxy class for serialization of configuration description data.,,,,"an inspection of the scenario where user changes project properties and saves it yields
following sequence of events
ol
li initialization
ul
li after eclipse started a project is being opened. a new cconfigurationdescriptioncache is created
with cconfigurationdescriptioncache icstorageelement storage, cprojectdescription parent constructor.
li any clients needed icconfigurationdescription get cconfigurationdescription using constructor
cconfigurationdescription cconfigurationdata data, string buildsystemid, icdataproxycontainer cr
where the cconfigurationdescriptioncache is passed as data. the reference to cache is kept in field fcfgcache.
li fcfgcache is used to getspecsettings cconfigurationspecsettings, after that fcfgcache is set to null.
ul
li user enters project properties settings
ul
li another cconfigurationdescription settings configuration created using the same constructor setting fcfgcache
to the cconfigurationdescriptioncache.
ul
li user changes settings in the settings configuration cconfigurationdescription and saves it
ul
li new cconfigurationdescriptioncache is created from the cconfigurationdescription via constructor
cconfigurationdescriptioncache icconfigurationdescription basedescription, ... where
basedescription is saved as fbasedescription.
li cconfigurationdescriptioncache.applydata ... is used to persist the data. at that point
reference fbasedescription gets set to null.
ul
ol

@see icconfigurationdescription
@see cconfigurationdescription
@see cprojectdescriptionevent",,"@see icconfigurationdescription
@see cconfigurationdescription
@see cprojectdescriptionevent"
3,CDebugModelPresentation.java,@see idebugmodelpresentation,,,,,,,@see idebugmodelpresentation
3,CElementDelta.java,@see icelementdelta,,,,,,,@see icelementdelta
3,ClangToolChain.java,"the clang toolchain. there s little different from the gcc toolchain other
than the toolchain type and name.

@author dschaefer",the clang toolchain.,there s little different from the gcc toolchain other than the toolchain type and name.,,,,@author dschaefer,
3,CommonBuildTab.java,"common utilities for core build launch configuration tabs.

@since 91",common utilities for core build launch configuration tabs.,,,@since 91,,,
3,ContainerTabModel.java,"@since 12.1
@author jjohnstn",,,,@since 12.1,,@author jjohnstn,
3,CoreBuildGenericLaunchConfigProvider.java,"core launch configuration provider used by generic target types.

@since 83",core launch configuration provider used by generic target types.,,,@since 83,,,
3,CPPASTProblem.java,c specific implementation allows actions to visit the problem.,c specific implementation allows actions to visit the problem.,,,,,,
3,CPPASTReferenceOperator.java,reference operator for declarators.,reference operator for declarators,,,,,,
3,CPPDeferredFunction.java,"represents a reference to a member function instance , which cannot be resolved because
an argument depends on a template parameter. a compiler would resolve it during instantiation.","represents a reference to a member function instance , which cannot be resolved because an argument depends on a template parameter.",a compiler would resolve it during instantiation.,,,,,
3,CPPImplicitVariable.java,"represents a variable implicitly created in c code.
for example the initializer of a structured binding decomposition dcl.struct.bind
code auto first, second decomposed code

the code initializerevaluation code has to be supplied.",represents a variable implicitly created in c code.,,,,"for example the initializer of a structured binding decomposition dcl.struct.bind
code auto first, second decomposed code

the code initializerevaluation code has to be supplied.",,
3,CPPTemplates.java,"collection of static methods to perform template instantiation, member specialization and
type instantiation.","collection of static methods to perform template instantiation, member specialization and type instantiation.",,,,,,
3,CPropertyTester.java,a property tester that determines if a file is an executable or a c c project.,a property tester that determines if a file is an executable or a c c project.,,,,,,
3,CUIPreferenceInitializer.java,"this class implements the setting of the cui initial preference store settings.

@noextend this class is not intended to be subclassed by clients.",this class implements the setting of the cui initial preference store settings.,,,,@noextend this class is not intended to be subclassed by clients.,,
3,CWordFinder.java,"this is a helper class for the text editor to be able to determine, given a
particular offset in a document, various candidates segments for things like
context help, proposals and hovering.","this is a helper class for the text editor to be able to determine, given a particular offset in a document, various candidates segments for things like context help, proposals and hovering.",,,,,,
3,DefaultEnvironmentContextInfo.java,"the default implementation of the icontextinfo used by the environment variable provider
used to represent the configuration, project, workspace and eclipse environment contexts

@since 30",the default implementation of the icontextinfo used by the environment variable provider,,"used to represent the configuration, project, workspace and eclipse environment contexts",@since 30,,,
3,DefaultFortranDependencyCalculator.java,"this class implements the dependency manager and output name provider interfaces
for a very quick & dirty ifort tool chain on win32",this class implements the dependency manager and output name provider interfaces for a very quick & dirty ifort tool chain on win32,,,,,,
3,DisplayDsfExecutor.java,"dsf executor which uses the display thread to run the submitted runnables
and callables. the implementation is based on the default dsf executor
which still creates its own thread. however this thread blocks when running
each executable in the display thread.

@since 10",dsf executor which uses the display thread to run the submitted runnables and callables.,the implementation is based on the default dsf executor which still creates its own thread. however this thread blocks when running each executable in the display thread.,,@since 10,,,
3,DocCommentOwnerBlock.java,"project property page for setting documentation comment owner.
em this class is not intended for use outside of cdt em

@noextend this class is not intended to be subclassed by clients.
@noinstantiate this class is not intended to be instantiated by clients.",project property page for setting documentation comment owner.,,,,"em this class is not intended for use outside of cdt em

@noextend this class is not intended to be subclassed by clients.
@noinstantiate this class is not intended to be instantiated by clients.",,
3,DOMGCCParserExtensionTestSuite.java,@author jcamelon,,,,,,@author jcamelon,
3,DOMParserTestSuite.java,@author jcamelon,,,,,,@author jcamelon,
3,DsfDebugUITools.java,@since 11,,,,@since 11,,,
3,DummyPage.java,this class is just to replace a category reference in org.eclipse.cdt.ui that we exclude because we do not bring in the org.eclipse.cdt.managedbuild.ui plug in.,this class is just to replace a category reference in org.eclipse.cdt.ui,,that we exclude because we do not bring in the org.eclipse.cdt.managedbuild.ui plug in.,,,,
3,ElementNumberFormatsContribution.java,"dynamic menu contribution that shows available number formats in the current
selection of the view.

@since 22",dynamic menu contribution that shows available number formats in the current selection of the view.,,,@since 22,,,
3,FindStdLibPath.java,"the purpose is to find a path where stdc library is located.
currently the shell script is only for linux.

todo it might not be able to execute scripts therefore place the command into a variable.",,,the purpose is to find a path where stdc library is located.,,currently the shell script is only for linux.,,
3,FoldingConfigurationBlock.java,"configures c editor folding preferences.

@since 30",configures c editor folding preferences,,,@since 30,,,
3,FormattedValueTests.java,"tests to verify the operation of formattedvaluesvmutil
@since 22

helper class that stores some element paths and nodes using a certain format",tests to verify the operation of formattedvaluesvmutil,helper class that stores some element paths and nodes using a certain forma,,@since 22,,,
3,GCCKeywords.java,"@noextend this interface is not intended to be extended by clients.
@noinstantiate this class is not intended to be instantiated by clients.",,,,,"@noextend this interface is not intended to be extended by clients.
@noinstantiate this class is not intended to be instantiated by clients.",,
3,GDBControl_7_12.java,"need a new finallaunchsequence for gdb 712
@since 52",,,,"need a new finallaunchsequence for gdb 712
@since 52",,,
3,GdbExpressionVMProvider.java,"a specialization of expressionvmprovider that uses a gdb specific variable vm
node. to understand why this is necessary, see gdbvariablevmnode.",a specialization of expressionvmprovider,that uses a gdb specific variable vm node,,,,,"to understand why this is necessary, see gdbvariablevmnode"
3,GDBSourceLookup.java,"default implementation of @link igdbsourcelookup

@since 50",default implementation of @link igdbsourcelookup,,,@since 50,,,
